language-name-text,中文 (繁體)
mana-regen-ability-name,法力再生
mind-control-ability-name,心智控制
multi-cleanse-ability-name,多重淨化
multi-heal-ability-name,多重治療
multi-magic-shield-ability-name,多重魔法護盾
multi-shield-ability-name,多重護盾
multi-stun-ability-name,多重暈眩
my-justice-ability-name,我的正義
my-way-ability-name,我的道路
normal-attack-ability-name,普通攻擊
noxious-empowerment-ability-name,劇毒強化
persistent-payback-ability-name,堅定復仇
prowlers-strike-ability-name,潛行者打擊
purify-ability-name,純化
replay-ability-name,重播
repulse-ability-name,擊退
safeguard-ability-name,防護
shatter-strike-ability-name,粉碎打擊
silhouette-ability-name,剪影
spell-bind-ability-name,法術致盲
steady-grip-ability-name,穩定握持
steal-ability-name,偷取
stun-attack-ability-name,眩暈攻擊
stun-strike-ability-name,眩暈打擊
toxic-attack-ability-name,毒性攻擊
triple-attack-ability-name,三重攻擊
venom-spit-ability-name,吐出毒液
absolution-passive-name,赦免
all-is-mine-passive-name,皆為我用
arcane-control-passive-name,奧術掌控
arcane-equilibrium-passive-name,奧術均衡
battleborn-passive-name,戰生
battleforged-heart-passive-name,戰鍛之心
beyond-the-grave-passive-name,墓外
bloodedges-blood-slash-passive-name,血鋒之血斬
cinder-touch-passive-name,餘燼之觸
combat-instinct-passive-name,戰鬥本能
consuming-darkness-passive-name,吞食暗黑
crimson-pact-passive-name,猩紅契約
critical-focus-passive-name,爆擊專注
crystal-hardening-passive-name,水晶硬化
crystal-insight-passive-name,水晶洞察
cursed-chain-passive-name,詛咒之鏈
edens-wish-passive-name,伊甸之願
edge-of-death-passive-name,死亡邊緣
edge-of-the-ruined-passive-name,毀滅者之鋒
eldrids-fury-passive-name,艾翠德狂怒
empty-bastion-passive-name,空洞堡壘
emulator-passive-name,模擬器
escape-passive-name,逃離
evil-mark-passive-name,邪惡標記
exploited-opportunity-passive-name,利用機會
faded-discipline-passive-name,褪色的紀律
faultbreaker-passive-name,錯裂
fear-of-pain-passive-name,疼痛恐懼
folly-of-kings-passive-name,王者之愚
freedom-drive-passive-name,自由驅動
frozen-heart-passive-name,冰霜之心
golden-altruism-passive-name,黃金利他
growing-anger-passive-name,增長的憤怒
iron-pact-passive-name,鐵之契約
ironclad-passive-name,鐵甲
judgments-call-passive-name,天命降臨
liberation-passive-name,解放
litany-of-malice-passive-name,惡意禱文
luminous-trial-passive-name,光明試煉
magic-flux-passive-name,魔力流動
magical-frostflare-passive-name,魔法霜花
mana-steal-passive-name,法力偷取
manaflow-passive-name,法力通流
mimicry-passive-name,擬態
plated-rot-passive-name,裝甲黑蝕
potential-seeker-passive-name,潛能探索者
prime-guard-passive-name,首要守衛
shaded-essence-passive-name,暗影精華
shattered-breath-passive-name,破碎之息
shatterwave-passive-name,粉碎狂波
spell-block-passive-name,法術格擋
spirit-of-the-unbroken-passive-name,不撓精神
strike-of-destiny-passive-name,命運打擊
thunderstrike-passive-name,雷霆
toxic-redemption-passive-name,毒性救贖
toxshield-passive-name,毒盾
undead-blessing-passive-name,不死祝福
undying-curse-passive-name,不滅詛咒
vengeful-edge-passive-name,復仇之刃
warriors-resolute-passive-name,勇士決意
whispers-of-anger-passive-name,憤怒低語
wind’s-grace-passive-name,風之恩典
wrath-of-the-broken-flesh-passive-name,破碎血肉之怒
honor-trial-name,榮譽
resilience-trial-name,韌性
swarm-trial-name,巢群
confrontation-trial-name,對抗
sagacity-trial-name,睿智
common-rarity-name,普通
uncommon-rarity-name,少見
rare-rarity-name,稀有
legendary-rarity-name,傳奇
mythic-rarity-name,神話
eternal-rarity-name,永恆
abyssal-rarity-name,深淵
cosmic-rarity-name,宇宙
divine-rarity-name,神聖
fren-adventurer-name,福倫
pyry-adventurer-name,皮里
sid-adventurer-name,希德
elys-adventurer-name,伊利斯
fael-adventurer-name,法埃爾
tyr-adventurer-name,泰爾
viran-adventurer-name,維蘭
kinno-adventurer-name,金諾
riel-adventurer-name,瑞爾
amon-adventurer-name,阿蒙
jace-adventurer-name,簡思
buff-status-effect-type-name,增益
debuff-status-effect-type-name,減益
penalty-status-effect-type-name,懲罰
neutral-status-effect-type-name,中性
blessing-status-effect-type-name,祝福
accuracy-stat-description,決定你擊中目標的機率
active-armor-stat-description,剩餘|[armor]
adaptive-attack-stat-description,增加你目前的攻擊傷害
agility-stat-description,<.>| 決定你|[dodge]|的機率|\n|<.>| 會被你的|[active-armor]|降低
armor-stat-description,吸收傷害以代替|[health]|
armor-shields-stat-description,戰鬥開始時|\n|可獲得的|[armor-shield]|層數
armor-steal-stat-description,命中時從目標處偷取的|[armor]|數量|\n|<696969>不能偷取超過你缺失的|[armor]|
armored-attack-stat-description,將你 |[active-armor]| 的 % 轉化為命中時造成的 |[armor-damage]|
blackrot-damage-stat-description,不會受任何效果影響
combat-stat-description,增加等同於總|[combat]|的|[physical-damage]|輸出
crit-chance-stat-description,幾率|[critical-strike]|
critical-damage-stat-description,提高|[critical-strike]|與|[omni-crit]|傷害
dazzle-stat-description,命中目標時所施加的|[sparkle]|疊加層數
eldership-stat-description,<.>| 按總 |[eldership]| 提高 |[magic-damage]|\n|<.>| 按總 |[eldership]| 提高 |[armor]|
electricity-stat-description,命中時對目標施加等同於總|[electricity]|的|[electro-charge]|疊加|\n|而且相鄰敵人得到25%疊加層數
elemental-power-stat-description,乘以下列屬性：|\n|<.>| |[freeze-attack]|\n|<.>| |[cinder-damage]|\n|<.>| |[electricity]|\n|<.>| |[toxicity]
elemental-resistance-stat-description,降低以下項目：|\n|<.>| |[freeze-damage]|\n|<.>| |[cinder-damage]|\n|<.>| |[electric-damage]|\n|<.>| |[toxicity]
energy-stat-description,讓你執行操作
faith-stat-description,<.>| 決定你 |[cleanse]| 的機率：|\n|[0@silver]|[*0@silver]| 回合結束時|\n|[4@silver]|[*4@silver]| 當你受到減益時|\n|\n|<.>| 會被你的 |[greed]| 降低
flow-stat-description,當 |[flow]| 低於 0% 時無法行動
freeze-attack-stat-description,命中時造成的|[freeze-damage]|量
gold-on-kill-stat-description,提高每次擊殺|[gold]
greed-stat-description,金幣收益倍增
health-stat-description,角色死亡前可以承受的最大傷害
lethality-stat-description,造成傷害使目標低於 % |[max-health]|\n|且數值等於 % |[lethality]|時; 將觸發 |[execute]|。
life-steal-stat-description,對你的|[health]|造成的|[physical-damage]|[heal]|%
luck-stat-description,你有機率執行以下操作：|\n|[lucky-attack]
magic-attack-stat-description,攻擊命中時造成的|[magic-damage]|數
malice-stat-description,每次擁有者受到攻擊時，對攻擊者施加|\n|等同於總|[malice]|的|[malice-damage]
mana-stat-description,施放技能時通常會消耗的一種資源
max-health-stat-description,可恢復的最大|[health]|值
max-mana-stat-description,可恢復的最大|[mana]|值
omni-crit-chance-stat-description,|[omni-crit]|幾率
omni-vamp-stat-description,對你的|[health]|造成的|傷害|[heal]|%
penetration-stat-description,忽略%|[armor]
physical-attack-stat-description,攻擊命中時造成的|[physical-damage]|數
power-stat-description,所有|[attack-damage]|倍增
recovery-stat-description,每回合根據|[recovery]|[heal]|一部分|\n|你失去的|[health]
spelldom-stat-description,第一回合獲得的 |[magic-blitz]| 數量
tenacity-stat-description,不受到以下效果的機率: |\n|<.>| |[slowness]|\n|<.>| |[stun]|
total-attacks-stat-description,你能夠攻擊一個目標的次數
toughness-stat-description,降低從攻擊中受到的傷害
toxicity-stat-description,每一點|[toxicity]|可在命中時施加一層|[poison]|疊加
wisdom-stat-description,<.>| 增加等同於總 |[wisdom]| 的 |[magic-damage]| 輸出
enervation-status-effect-description,每層減少所有攻擊傷害25%
weakness-status-effect-description,每層疊加降低25%的所有攻擊傷害
black-curse-status-effect-description,所有治療效果降低75%
curse-status-effect-description,所有治療效果降低75%
stun-status-effect-description,施加後：本回合無法進行任何行動
slowness-status-effect-description,|[agility]|降低100%
confusion-status-effect-description,將 |[accuracy]| 降低100%
silence-status-effect-description,無法使用技能
toxic-transmute-status-effect-description,每當你的生命即將受到傷害時;|\n|取消該傷害; 將其轉化為 |[poison]| 並應用|\n|於自身
poison-status-effect-description,回合結束時直接對生命值造成傷害
bleed-status-effect-description,每次攻擊後；對你的|[health]|造成|[bleed-damage]| |\n|傷害等於 |[bleed]| 層數的百分比乘以你的|\n|[max-health]| |\n|\n|<696969>每回合失去 2% |[bleed]
sparkle-status-effect-description,命中目標將爆出所有|[sparkle]|疊加，|\n|並且對每層疊加執行以下操作：|\n|\n|- 將|[ephemeral-armor]|給予攻擊者|\n|- 對目標造成|[dazzle-damage]|\n|\n
magic-shield-status-effect-description,生效時格擋任何傷害然後破裂，|\n|並且變成無效|\n|\n|<696969>（不會因|[magic-damage]|<696969>破裂）|\n
ephemeral-armor-status-effect-description,戰鬥結束後消失的暫時|[armor]|\n|\n|受到傷害後收到|[ephemeral-lock]|\n
ephemeral-shell-status-effect-description,每層疊加受到的傷害減少12%
electro-charge-status-effect-description,每回合對擁有者造成等同於層數的 |[electric-damage]|
ephemeral-lock-status-effect-description,無法獲得|[ephemeral-armor]
exhaustion-status-effect-description,將|[total-attacks]|限制為1|\n
malice-shield-status-effect-description,下次你快被擊中時，會破壞一個護盾並|\n|忽略|[malice]*|<483a5d>+1|點傷害
armor-shield-status-effect-description,下次你快被擊中時，會破壞一個護盾並|\n|忽略|[armor]*|<6d758d>+1|傷害|\n
freeze-status-effect-description,所有來源的傷害提高25%
fear-status-effect-description,無法獲得增益
invulnerability-status-effect-description,不會受到任何傷害
arthurs-mark-status-effect-description,帶有此標記的目標無法|[block]|、|[parry]|或|[dodge]|\n
timeout-status-effect-description,本回合無法進行任何動作
cinder-essence-status-effect-description,回合開始時消耗|\n|所有|[cinder-essence]|疊加|\n|並且每層疊加|[immolate]
combat-insight-status-effect-description,下次即將受到攻擊|\n|且有5層以上|[combat-insight]|疊加時\n|全部消耗並|[parry]|\n
magic-blitz-status-effect-description,攻擊時消耗所有疊加層數並且|\n|每層疊加+100%|[magic-attack]|\n
omni-blitz-status-effect-description,攻擊時消耗所有疊加層數並且|\n|每層疊加+100%|[physical-attack]|與|[magic-attack]|\n
vimblow-status-effect-description,攻擊時消耗一層疊加並獲得|\n|等同於25%|[max-health]|的|[physical-attack]|加成|\n
dread-status-effect-description,具有 |[fear]| 的敵人不會攻擊你
fury-status-effect-description,每層|[fury]|疊加提高25%的|\n|[physical-attack]|<696969>（每場戰鬥結束後重設）|\n|\n
counter-attack-charge-status-effect-description,攻擊攻擊者
multi-attack-charge-status-effect-description,本回合 [multi-attack]|
stun-attack-charge-status-effect-description,你的所有命中會對目標施加 |[stun]|
debuff-immunity-status-effect-description,阻止所有減益施放
golden-heart-status-effect-description,當生命值降至 0 |[health]| 時:|\n|<.>| 復活並 |[heal]| 你 |[max-health]| 的 25%|\n|[3@golden]|<.>| |[*3@golden]| 獲得 |[invulnerability]|
lethality-status-effect-description,對目標造成使其低於 % |[max-health]| 的傷害|\n|如果等於 % |[lethality]|，將 |[execute]| 目標
madness-status-effect-description,僅攻擊你自己
blindness-status-effect-description,將你的 |[accuracy]| 降低100%
clarity-status-effect-description,下次你即將受到|[stun]|時|\n|消耗1層|[clarity]|並使其無效
elusive-status-effect-description,對你的所有攻擊將失去100% 的 |[accuracy]|
purification-status-effect-description,回合結束時，消耗1層疊加並進行|[cleanse]
grace-status-effect-description,提高所有傷害
curse-of-the-tower-status-effect-description,每回合受到等於你|[max-health]|1%的|[true-damage]|\n|<696969>（戰鬥時間過長時獲得）
unavoidable-keyword-description,攻擊總是會命中
anti-steal-keyword-description,保護你不被|[steal]
ascend-keyword-description,從第1層開始進行飛升挑戰; 您獲得的|[diamond]|\n將乘以2|<696969>（每級+1）|\n|<ff4500>先前挑戰中使用過的2層以上物品將被|\n|<ff4500>移除
tinker-keyword-description,商人會對你給他的物品進行以下操作：|\n|<.>| 將重鑄和物品轉化為修補工具包|\n|<.>| 升級重鑄物品
heal-keyword-description,補充角色目前|[health]|的操作
tier-i-reward-keyword-description,<.>| |打開箱子獲得額外 |[diamond]||\n|<.>| |開始時擁有 +{gold} |[gold]
critical-strike-battle-action-description,[physical-damage]|提高100%+%|[critical-damage]
counter-attack-battle-action-description,攻擊攻擊者
multi-attack-battle-action-description,在單一回合中攻擊所有敵人
lucky-attack-battle-action-description,造成25%額外傷害
armor-break-battle-action-description,將目標的護甲值降至0使其破裂
omni-crit-battle-action-description,[physical-damage]||和|[magic-damage]|\n|提高100%+%|[critical-damage]
polymorph-battle-action-description,將最強的敵人變形為隨機敵人|\n|並重置其屬性
immolate-battle-action-description,對你前方的所有敵人|\n|造成等於25%|[max-health]|的|[cinder-damage]
backstab-battle-action-description,背刺一名敵人造成攻擊傷害|\n|<.>| |敵人 |[max-health]| 高于75%：傷害降低45%|\n|<.>| |敵人 |[max-health]| 低于或等于75%：攻擊將|\n| 是 |[critical-strike]| 並獲得+25% |[accuracy]
cleanse-battle-action-description,移除一個隨機減益並將你的 |[faith]| 降低25%|\n|<696969>每場戰鬥重置
dodge-battle-action-description,避免傳入傷害|\n|\n|每次|[dodge]|時：|\n|[agility]|降低25%|\n|\n|<696969>每場戰鬥重設
parry-battle-action-description,將傷害和狀態效果返還給攻擊者|\n|<696969>被招架10次會結束你的回合
block-battle-action-description,傳入傷害降低100%
guard-battle-action-description,受到的傷害降低25%
miss-battle-action-description,攻擊但未擊中目標|\n|<696969>錯過10次將結束你的回合
arcane-roulette-ability-description,每當你的 |[magic-shield]| 破裂時; 攻擊一個|\n|隨機目標\n|<696969>啟動條件: 擁有啟動中的 |[magic-shield]|
astral-dissolution-ability-description,從目標處移除所有增益
barrier-ability-description,獲得|[magic-shield]
bloodlust-aura-ability-description,對所有敵人施加|[madness]||\n|<696969>啟動條件: 在一回合內 |[heal]|<696969> 你的|[max-health]|<696969>25%
burden-of-power-ability-description,回合開始時; 從所有帶有|[fear]|的敵人處竊取75%的攻擊傷害|\n||\n|<696969>啟動條件: 已在一名敵人身上施加|[fear]|<696969>
confusion-strike-ability-description,命中時施加2層|[confusion]|疊加
death-strike-ability-description,本回合獲得|\n|100%|[crit-chance]
drain-react-ability-description,對所有敵人施加5層|[enervation]||\n|<696969>啟動條件: 受到一名帶有|[poison]|的敵人的攻擊
drop-of-chaos-ability-description,對目標施加隨機減益
enchanted-attack-ability-description,本回合+100%攻擊傷害
fear-of-faith-ability-description,獲得2層|[invulnerability]|疊加
frozen-strike-ability-description,命中時對目標施加3層|[weakness]|疊加
frozen-wind-ability-description,對目標施加|[weakness]|接著對其發動攻擊
galefire-ability-description,對目標施加|[slowness]
headbutt-ability-description,命中時對目標施加|[stun]|
heart-of-iron-ability-description,獲得等同於你|[health]|的|[armor]||\n|<696969>啟動條件: 受到3次攻擊|\n|<696969>每場戰鬥重置
mana-regen-ability-description,再生所有失去的|[mana]
mind-control-ability-description,對所有目標施加|[confusion]
multi-cleanse-ability-description,[cleanse]|你自己與所有盟友
multi-heal-ability-description,為你和所有盟友恢復25%生命值
multi-magic-shield-ability-description,為你和盟友提供|[magic-shield]
multi-shield-ability-description,給予你和盟友等同於|\n|你|[health]|的|[ephemeral-armor]
multi-stun-ability-description,獲得|[multi-attack-charge]|與|[stun-attack-charge]|;|\n|隨後攻擊|\n|<696969>啟動條件: 招架一次攻擊|\n|<696969>每場戰鬥重置
my-justice-ability-description,本回合獲得|[invulnerability]|與|[counter-attack-charge]||\n|<696969>啟動條件: 獲得|[invulnerability]|
my-way-ability-description,本回合獲得|[counter-attack-charge]||\n|<696969>啟動條件: 攻擊3次
noxious-empowerment-ability-description,本回合|[toxicity]|x2
persistent-payback-ability-description,本回合|[counter-attack]
prowlers-strike-ability-description,本回合每次你命中敵人; 獲得{agility-amount}% |[agility]||\n|<696969>啟動條件: 至少一次|[dodge]|<696969>
replay-ability-description,啟動你最後一次模仿的能力|\n|<696969>啟動條件: 模仿一項能力
repulse-ability-description,本回合|[parry]
safeguard-ability-description,你和盟友獲得等同於|\n|你|[max-health]|25%的|[armor]
shatter-strike-ability-description,命中時|[armor-break]
silhouette-ability-description,成為|[elusive]|並進行攻擊|\n|<696969>啟動條件: |[backstab]|\n|<696969>每場戰鬥重置
spell-bind-ability-description,對目標施加|[silence]
steady-grip-ability-description,本場戰鬥中; 你的 |[total-attacks]| +1
steal-ability-description,從目標偷取25%|[gold]
stun-attack-ability-description,命中時對目標施加 |[stun]
stun-strike-ability-description,命中時對目標施加|[stun]|
toxic-attack-ability-description,命中目標時，施加1點|[poison]
venom-spit-ability-description,對你的目標施加等同於|\n|總 |[toxicity]| 的 |[poison]| 疊加
absolution-passive-description,每次攻擊時，對一名|\n|隨機敵人造成5點|[magic-damage]
all-is-mine-passive-description,回合開始時，從目標|\n|偷取所有增益
arcane-control-passive-description,每當你閃避一次攻擊; 你的|[magic-shield]|會破裂並立刻回滿
arcane-equilibrium-passive-description,在每回合結束時；將每個人的|[invulnerability]|轉化為|[magic-shield]
battleborn-passive-description,每當你|[parry]|; 對目標施加|[stun]|
battleforged-heart-passive-description,你的 |[armor]| 受損後；將該數額轉化為|\n||[max-health]|\n|<696969>每場戰鬥重置
beyond-the-grave-passive-description,回合結束時；轉化對手的狀態效果|\n|<.>| |[weakness]| 轉化為 |[enervation]|\n|<.>| |[curse]| 轉化為 |[black-curse]
bloodedges-blood-slash-passive-description,每次你即將攻擊時；將10%|\n|你的|[health]|轉化為|[physical-attack]|\n|<696969>每場戰鬥重置
cinder-touch-passive-description,命中時|[immolate]
combat-instinct-passive-description,|[parry]|傷害加倍
consuming-darkness-passive-description,當一名同時帶有|[fear]|與|[confusion]|的敵人被擊殺時;|\n|獲得其全部基礎屬性 |<696969>(每場戰鬥重置)
crimson-pact-passive-description,生命值低於45%時；對所有敵人施加|\n|[confusion]|
critical-focus-passive-description,你的 |[critical-strike]| 或 |[omni-crit]| 攻擊\n|將獲得 +25% |[accuracy]|
crystal-hardening-passive-description,第一回合受到的傷害為0
crystal-insight-passive-description,第一回合獲得 +100% |[magic-attack]|
cursed-chain-passive-description,即使你的攻擊沒有命中|\n|也會施加命中狀態效果
edens-wish-passive-description,每回合開始時; 給予一名隨機友方|\n|一個隨機的祝福或增益
edge-of-death-passive-description,在第一回合你的|[health]|不能低於1
edge-of-the-ruined-passive-description,當你擁有|[curse]|或|[black-curse]|時：|\n|攻擊將造成等於目標11% |[health]|的|\n|額外傷害
eldrids-fury-passive-description,每次治療時，獲得一層|[vimblow]|疊加|\n|<696969>每回合一次
empty-bastion-passive-description,你的|[armor]|乘以8；但你每場戰鬥開始時|\n|只有0 |[active-armor]|
emulator-passive-description,在回合結束時重新施加減益效果
escape-passive-description,嘗試偷竊後離開戰鬥
evil-mark-passive-description,回合開始時，|\n|對你的目標施加|[curse]|
exploited-opportunity-passive-description,在 |[dodge]| 後；對攻擊者施加 |[stun]|
faded-discipline-passive-description,獲得+5 |[total-attacks]|，但你的前5次|\n|攻擊傷害降低99%
faultbreaker-passive-description,如果你的攻擊讓目標剩下 75%|\n|[active-armor]| 或更少；施加 |[armor-break]|
fear-of-pain-passive-description,不會攻擊本回合受到傷害的目標
folly-of-kings-passive-description,每回合獲得一個隨機狀態效果|\n|且每2回合|[polymorph]|一次
freedom-drive-passive-description,擁有|[invulnerability]|時獲得+100%|[tenacity]
golden-altruism-passive-description,為所有盟友提供|[golden-heart]
growing-anger-passive-description,每次命中獲得 5% |[crit-chance]| |<696969>(每場戰鬥重置)
iron-pact-passive-description,每當你的 |[active-armor]| 達到0%時；消耗10%|\n|你的 |[health]| 並將其轉化為 |[active-armor]
ironclad-passive-description,[block]
judgments-call-passive-description,你的攻擊將施加經由|\n|[cleanse]|移除的減益（每場戰鬥重設）
liberation-passive-description,將所有|[armor]|轉換為|[adaptive-attack]
litany-of-malice-passive-description,目標身上的每一種獨特狀態效果；|\n|對其造成+25%額外 |[malice-damage]|
luminous-trial-passive-description,<.>| 進入戰鬥時施加 1 層 |[blindness]| |<|\n||<.>| 敵人每有一次 |[miss]|; 便獲得 +25% |[accuracy]|
magical-frostflare-passive-description,獲得等同於對帶有|[freeze]|的敵人造成|\n|的|[magic-damage]|的|[ephemeral-armor]
mana-steal-passive-description,命中時偷取1|[mana]
manaflow-passive-description,將你的|[max-mana]|設為1
mimicry-passive-description,使用目標的能力
plated-rot-passive-description,對|[armor]|造成的傷害; 將轉化為|[max-health]|
prime-guard-passive-description,其他敵人受到的傷害減少99%；直到|\n|该被動的擁有者被擊敗
shaded-essence-passive-description,對|[silence]|的敵人造成+375%|[magic-damage]
shattered-breath-passive-description,每次|[parry]|時；對目標施加|[exhaustion]
shatterwave-passive-description,命中敵人時，對其相鄰敵人|\n|造成25%攻擊傷害
spell-block-passive-description,在回合開始時；對第一個有技能的敵人|\n|施加 |[silence]|
strike-of-destiny-passive-description,如果你有|[invulnerability]|，擊中時移除目標的所有增益
thunderstrike-passive-description,若目標有 |[electro-charge]|，命中時施加 |[stun]|
toxic-redemption-passive-description,擊殺敵人時; 移除自身所有 |[poison]| 並對所有敵人造成|\n|等同於已移除毒素數量的 |[physical-damage]|
toxshield-passive-description,在你的回合中每當造成 |[poison-damage]| 時;\n|獲得等量的 |[ephemeral-armor]|
undead-blessing-passive-description,盟友死亡時|\n|獲得一層|[purification]|疊加
undying-curse-passive-description,死亡時; 施加 |[curse]|\n|於擊殺者
vengeful-edge-passive-description,當你使用|[counter-attack]|時; 再次 |[counter-attack]|
warriors-resolute-passive-description,前3個回合獲得一次|[clarity]
wind’s-grace-passive-description,賦予所有盟友 |[swiftness]|
wrath-of-the-broken-flesh-passive-description,每次你的生命值受到傷害時；獲得一層|[fury]|
ancient-ice-item-set-description,[1@ancient-ice]|[*1@ancient-ice]|<.>| 獲得等同於對帶有|[freeze]|的敵人造成|\n| 的|[freeze-damage]|的|[ephemeral-armor]||\n|\n|<.>| 在你的首回合結束時; 對所有敵人施加|[freeze]|
ancient-shell-item-set-description,如果你本回合使用了姿態：|\n|[1@ancient-shell]|[*1@ancient-shell]| |[toughness]| 將降低所有類型的傷害|\n|[3@ancient-shell]|[*3@ancient-shell]| 回合結束時獲得|[ephemeral-shell]||\n|[5@ancient-shell]|[*5@ancient-shell]| 回合結束時移除|[ephemeral-lock]|
arcanum-item-set-description,[1@arcanum]|[*1@arcanum]| |[magic-shield]|啟用時；獲得|<7569f5>+375%|[magic-damage]|\n|[2@arcanum]|[*2@arcanum]| 回合結束時獲得一個|[magic-shield]|\n|[4@arcanum]|[*4@arcanum]| 擊殺敵人後獲得一個|[magic-shield]
bastolic-item-set-description,[1@bastolic]|[*1@bastolic]| 當你造成|[magic-damage]|時；對隨機敵人造成|\n| |({magic_damage})|<7569f5>你最大生命值5%|的額外傷害|\n|\n|[2@bastolic]|[*2@bastolic]| 你在第一回合受到的|[magic-damage]|將|\n| 轉化為|[max-health]|\n|<696969> 每場戰鬥重置
berserker-item-set-description,[1@berserker]|[*1@berserker]| 根據已損失的|[health]|獲得額外|[total-attacks]|：|\n| |<.>| 25% -> +1 |[total-attacks]|\n| |<.>| 50% -> +3 |[total-attacks]|\n| |<.>| 75% -> +6 |[total-attacks]|\n|\n|[2@berserker]|[*2@berserker]| 當|[health]|低於25%時；獲得100%|[tenacity]
blackthorn-item-set-description,受到攻擊後：|\n|<.>| 對攻擊者造成|[active-armor]*|的|[magic-damage]
cataclysm-item-set-description,所有敵人都會受到最高45%的 |[lethality]
celestial-item-set-description,在受到任意傷害時，將其變為|[elemental-power]|\n|<696969>每場戰鬥重設
chromalure-item-set-description,[1@chromalure]|[*1@chromalure]| 施加|[poison]|後；對目標造成|\n| 等量的|[poison-damage]||\n|\n|[3@chromalure]|[*3@chromalure]| 每回合開始時，獲得|[toxic-transmute]|[0@chromalure]
cursed-item-set-description,[1@cursed]|[*1@cursed]| 戰鬥開始時；獲得 |[curse]|\n|和5層 |[malice-shield]|\n|\n|[3@cursed]|[*3@cursed]| 你造成的 |[malice-damage]| 將擴散到|\n|所有帶有|[curse]|的敵人
darkness-item-set-description,[1@darkness]|[*1@darkness]| 在回合開始時對所有攻擊力低於你的敵人施加|[fear]|[3@darkness]|\n|[*3@darkness]| 擊殺敵人後獲得2層|[dread]|[4@darkness]|\n|[*4@darkness]| 在第一回合開始時獲得|[madness]|[0@darkness]
demonic-item-set-description,[1@demonic]|[*1@demonic]| 每25點基礎|[max-health]|\n|獲得1%|[physical-attack]|\n|\n|[3@demonic]|[*3@demonic]| 在第一回合開始時獲得|[multi-attack-charge]|
flesh-item-set-description,允許 |[heal]| 超過你的 |[max-health]|\n|<696969>超出部分將在\n|<696969>回合結束時移除
generic-item-set-description,計為所有已啟動物品套裝的+1
golden-item-set-description,每場戰鬥開始時獲得|[golden-heart]
hunter-item-set-description,[1@hunter]|[*1@hunter]| 每超過100%的|[crit-chance]|每1%會轉化為|\n| 10% |[critical-damage]|\n|[3@hunter]|[*3@hunter]| 目標無法|[dodge]|你的|[critical-strike]|攻擊
jade-item-set-description,爆出所有|[sparkle]|後，重新將其疊加在目標上
legacy-item-set-description,<.>| 戰鬥開始時；獲得|[invulnerability]|\n|\n|<.>| 在你的第一個回合結束時；對一個隨機敵人施加一層|\n| |[arthurs-mark]||\n|\n|<.>| 當一個帶有|[arthurs-mark]|的敵人死亡時；|\n| 它將被施加到另一個敵人身上
magma-item-set-description,回合開始前|\n|提供1層|[cinder-essence]|疊加
mercenary-item-set-description,如果目標|[health]|高於90%：|\n|[1@mercenary]|[1@mercenary]| 造成25%|<00cd58>+|[luck]|增加的攻擊傷害|\n|[3@mercenary]|[*3@mercenary]| 本回合獲得+1 |[total-attacks]|
orion-item-set-description,[1@orion]|[*1@orion]| 隨著你的 |[health]| 下降獲得增加的傷害抗性；在25% |[health]| 時最高可達75%抗性|\n|\n|[3@orion]|[*3@orion]| 在前3個回合結束時；修復25%|\n|你的|[armor]|\n|\n|[4@orion]|[*4@orion]| 無法|[heal]
phantom-item-set-description,無法裝備
poverty-item-set-description,<.>| [health]|低於25%時獲得75%|[crit-chance]|\n|<.>| 獲得|[anti-steal]
royal-item-set-description,第一回合獲得|[inherited-sin]|\n|\n|如果|[cleanse]|移除了|[inherited-sin]|，獲得|\n|5層|[debuff-immunity]|疊加
scout-item-set-description,[1@scout]|\n|<.>| |[*1@scout]|只要你有任意數量的|[agility]|，就保證|[dodge]|[3@scout]|\n|<.>| |[*3@scout]| |[dodge]|3次後，變為|[elusive]|[0@scout]
shadow-item-set-description,[1@shadow]|[*1@shadow]| 每當你閃避一次攻擊; |[backstab]|\n|[3@shadow]|[*3@shadow]| 在|[elusive]|期間避免的傷害將轉為|\n| |[adaptive-attack]|<696969> - 每場戰鬥重置
silver-item-set-description,[1@silver]|[*1@silver]| 如果你有任何數量的|[faith]|，則保證|[cleanse]||\n|\n|[3@silver]|[3@silver]| 在|[cleanse]|時獲得|[faith]| |[grace]
swiftness-item-set-description,使你的|[total-attacks]|加倍；但每次攻擊後|\n|損失5%|[accuracy]|<696969> 每回合重置
thunder-item-set-description,[1@thunder]|[*1@thunder]|[electric-damage]|在你的回合有25%+|[luck]*|的機率造成|[stun]|\n|[3@thunder]|[*3@thunder]| 使你在回合中施加的|[stun]|持續時間加倍
unchained-item-set-description,[1@unchained]|[*1@unchained]| 減益將套用至所有敵人|\n|[2@unchained]|[*2@unchained]| 你施加的減益效果加倍
vampiric-item-set-description,[1@vampiric]|[*1@vampiric]| 你對一個新目標的首次攻擊施加8% |[bleed]|\n|\n|[3@vampiric]|[*3@vampiric]| 每當敵人受到|[bleed-damage]|時；|[heal]|\n| 等量的生命值|\n|\n|[5@vampiric]|[*5@vampiric]| |[bleed-damage]| 將轉化為|[power]|\n|<696969> 每場戰鬥重置
warrior-item-set-description,[1@warrior]|[*1@warrior]| 每次攻擊時獲得|[combat-insight]|\n|[4@warrior]|[*4@warrior]| 被攻擊時獲得|[combat-insight]|[0@warrior]
