language-name-text,日本語
tinker-keyword-name,ティンカー
heal-keyword-name,治癒
tier-i-reward-keyword-name,ティア I 報酬
critical-strike-battle-action-name,クリティカルストライク
counter-attack-battle-action-name,反撃
multi-attack-battle-action-name,マルチ攻撃
lucky-attack-battle-action-name,ラッキー攻撃
armor-break-battle-action-name,鎧破壊
omni-crit-battle-action-name,オムニクリティカル
polymorph-battle-action-name,ポリモーフ
immolate-battle-action-name,焼き打ち
backstab-battle-action-name,バックスタブ
cleanse-battle-action-name,浄化
dodge-battle-action-name,回避
parry-battle-action-name,身かわし
block-battle-action-name,ブロック
guard-battle-action-name,防御
miss-battle-action-name,失敗
hit-battle-action-name,ヒット
arcane-roulette-ability-name,アルカンルーレット
astral-dissolution-ability-name,天体消失
barrier-ability-name,バリア
bloodlust-aura-ability-name,ブラッドラストオーラ
burden-of-power-ability-name,権力の重荷
confusion-strike-ability-name,錯乱ストライク
death-strike-ability-name,デスストライク
drain-react-ability-name,ドレインリアクト
drop-of-chaos-ability-name,混沌の雫
enchanted-attack-ability-name,特殊攻撃
fear-of-faith-ability-name,信念の恐れ
frozen-strike-ability-name,凍結ストライク
frozen-wind-ability-name,凍風
galefire-ability-name,ゲイルファイア
harness-ability-name,ハーネス
headbutt-ability-name,頭突き
heart-of-iron-ability-name,鉄の心
iron-will-ability-name,鉄の意志
mana-regen-ability-name,マナ回復
mind-control-ability-name,マインドコントロール
multi-cleanse-ability-name,マルチ浄化
multi-heal-ability-name,マルチ治癒
multi-magic-shield-ability-name,マルチ魔法盾
multi-shield-ability-name,マルチ盾
multi-stun-ability-name,マルチスタン
my-justice-ability-name,我が正義
my-way-ability-name,我が道
normal-attack-ability-name,通常攻撃
noxious-empowerment-ability-name,毒付与
persistent-payback-ability-name,永続報復
prowlers-strike-ability-name,潜行者の一撃
purify-ability-name,純化
replay-ability-name,リプレイ
repulse-ability-name,撃退
safeguard-ability-name,セーフガード
shatter-strike-ability-name,自滅ストライク
silhouette-ability-name,シルエット
spell-bind-ability-name,呪縛
steady-grip-ability-name,ステディグリップ
steal-ability-name,スティール
stun-attack-ability-name,スタン攻撃
stun-strike-ability-name,スタンストライク
toxic-attack-ability-name,有毒攻撃
triple-attack-ability-name,三重攻撃
venom-spit-ability-name,毒吐き
absolution-passive-name,赦免
all-is-mine-passive-name,すべて私のもの
arcane-control-passive-name,秘術制御
arcane-equilibrium-passive-name,アルケイン・イクリブリアム
battleborn-passive-name,戦闘生まれ
battleforged-heart-passive-name,戦鍛の心臓
beyond-the-grave-passive-name,墓の彼方
bloodedges-blood-slash-passive-name,ブラッドエッジのブラッドスラッシュ
cinder-touch-passive-name,灰の恩恵
combat-instinct-passive-name,戦闘本能
consuming-darkness-passive-name,激烈な闇
crimson-pact-passive-name,クリムゾンパクト
critical-focus-passive-name,クリティカルフォーカス
crystal-hardening-passive-name,水晶硬化
crystal-insight-passive-name,クリスタルの洞察
cursed-chain-passive-name,呪いのチェーン
edens-wish-passive-name,エデンの願い
edge-of-death-passive-name,死の縁
edge-of-the-ruined-passive-name,壊滅のエッジ
eldrids-fury-passive-name,エルドリッドの憤激
empty-bastion-passive-name,空の要塞
emulator-passive-name,エミュレーター
escape-passive-name,逃亡
evil-mark-passive-name,悪の印
exploited-opportunity-passive-name,機会利用
faded-discipline-passive-name,色褪せた規律
faultbreaker-passive-name,欠陥潰し
fear-of-pain-passive-name,痛みの恐怖
folly-of-kings-passive-name,王の愚行
freedom-drive-passive-name,フリーダムドライブ
frozen-heart-passive-name,凍った心臓
golden-altruism-passive-name,金の利他主義
growing-anger-passive-name,増大する怒り
iron-pact-passive-name,鉄の盟約
ironclad-passive-name,装甲
judgments-call-passive-name,審判の判定
liberation-passive-name,自由化
litany-of-malice-passive-name,悪意の連祷
luminous-trial-passive-name,光の試練
magic-flux-passive-name,魔力の流れ
magical-frostflare-passive-name,魔法の氷炎
mana-steal-passive-name,マナスティール
manaflow-passive-name,マナフロー
mimicry-passive-name,模倣
plated-rot-passive-name,装甲黒斑
potential-seeker-passive-name,ポテンシャルシーカー
prime-guard-passive-name,プライムガード
shaded-essence-passive-name,陰の真髄
shattered-breath-passive-name,砕けた息吹
shatterwave-passive-name,シャッターウェーブ
spell-block-passive-name,スペルブロック
spirit-of-the-unbroken-passive-name,不屈の精神
strike-of-destiny-passive-name,運命の一撃
thunderstrike-passive-name,サンダー攻撃
toxic-redemption-passive-name,毒の救済
toxshield-passive-name,毒盾
undead-blessing-passive-name,不死の祝福
undying-curse-passive-name,滅びぬ呪い
vengeful-edge-passive-name,復讐の刃
warriors-resolute-passive-name,戦士の決意
whispers-of-anger-passive-name,怒りの囁き
wind’s-grace-passive-name,風の恩恵
wrath-of-the-broken-flesh-passive-name,壊れた肉の怒り
honor-trial-name,名誉
resilience-trial-name,レジリエンス
swarm-trial-name,群れ
confrontation-trial-name,対決
sagacity-trial-name,賢明
common-rarity-name,コモン
uncommon-rarity-name,アンコモン
rare-rarity-name,レア
legendary-rarity-name,レジェンダリー
mythic-rarity-name,ミシック
eternal-rarity-name,エターナル
abyssal-rarity-name,アビサル
cosmic-rarity-name,コズミック
divine-rarity-name,デバイン
fren-adventurer-name,フレン
pyry-adventurer-name,ピリ
sid-adventurer-name,シド
elys-adventurer-name,エリス
fael-adventurer-name,ファエル
tyr-adventurer-name,ティル
viran-adventurer-name,ビラン
kinno-adventurer-name,キノ
riel-adventurer-name,リエル
amon-adventurer-name,アモン
jace-adventurer-name,ジェイス
buff-status-effect-type-name,バフ
debuff-status-effect-type-name,デバフ
penalty-status-effect-type-name,ペナルティ
neutral-status-effect-type-name,ニュートラル
blessing-status-effect-type-name,加護
accuracy-stat-description,命中率を決定する
active-armor-stat-description,[armor]| 残数
adaptive-attack-stat-description,現在の攻撃ダメージが増
agility-stat-description,<.>|[dodge]|の確率を決定する|\n|<.>| [active-armor]によって減少する
armor-stat-description,|[health]|の代わりにダメージを吸収
armor-shields-stat-description,戦闘開始時に獲得する|[armor-shield]|スタックの数
armor-steal-stat-description,命中時に対象から奪う|[armor]|の量|\n|<696969>不足分以上の|[armor]|は奪えない
armored-attack-stat-description,|[active-armor]|の%を、ヒット時に与える|[armor-damage]|に変換
blackrot-damage-stat-description,いかなる効果の影響も受けない
combat-stat-description,合計|[combat]|に応じて|[physical-damage]|出力を増加
crit-chance-stat-description,|[critical-strike]のチャンス
critical-damage-stat-description,[critical-strike]|および|[omni-crit]|ダメージが増
dazzle-stat-description,ヒット時、対象に付与する|[sparkle]|のスタック回数
eldership-stat-description,<.>| |[eldership]| による合計 |[magic-damage]| を増加\n|<.>| |[eldership]| による合計 |[armor]| を増加
electricity-stat-description,ヒット時に合計|[electricity]|に等しい|[electro-charge]|のスタックを対象に付与|\n|近くの敵にスタックの25%を付与
elemental-power-stat-description,倍増：|\n|<.>| |[freeze-attack]|\n|<.>| |[cinder-damage]|\n|<.>| |[electricity]|\n|<.>| |[toxicity]
elemental-resistance-stat-description,以下を減少させる：|\n|<.>| |[freeze-damage]|\n|<.>| |[cinder-damage]|\n|<.>| |[electric-damage]|\n|<.>| |[toxicity]
energy-stat-description,アクションの実行が可能になる
faith-stat-description,<.>| |[cleanse]| の確率を決定：|\n|[0@silver]|[*0@silver]| ターン終了時|\n|[4@silver]|[*4@silver]| デバフを受けた時|\n|\n|<.>| |[greed]| によって減少
flow-stat-description,|[flow]|が0%未満の間はターンを行うことができません
freeze-attack-stat-description,ヒット時に付与する|[freeze-damage]|量
gold-on-kill-stat-description,キル毎に|[gold]|が増加
greed-stat-description,獲得ゴールドを倍増
health-stat-description,死亡するまでキャラクターが耐えうる最大ダメージ量
lethality-stat-description,対象を % |[max-health]| 未満にするダメージ\n|かつ 値が % |[lethality]| のとき; |[execute]|が発動。
life-steal-stat-description,[health]|に受けた|[physical-damage]|の|%分|[heal]
luck-stat-description,次のアクションを実行する確率：|\n|[lucky-attack]
magic-attack-stat-description,攻撃のヒット時に付与する|[magic-damage]|量
malice-stat-description,保有者が攻撃されるたびに、合計|[malice]|に等しい|\n|[malice-damage]|を攻撃者に付与
mana-stat-description,主にアビリティ使用時に消費するリソース
max-health-stat-description,回復できる|[health]|の最大値
max-mana-stat-description,回復できる|[mana]|の最大値
omni-crit-chance-stat-description,|[omni-crit]|のチャンス
omni-vamp-stat-description,[health]|に受けた|ダメージの|%|分[heal]
penetration-stat-description,%|[armor]を無視
physical-attack-stat-description,攻撃のヒット時に付与する|[physical-damage]|量
power-stat-description,すべての|[attack-damage]|を倍増
recovery-stat-description,[recovery]|に基づき、|\n|毎ターン失った|[health]|の一部を|[heal]
spelldom-stat-description,初手に得る |[magic-blitz]| の量
tenacity-stat-description,以下を受けない確率: |\n|<.>| |[slowness]|\n|<.>| |[stun]|
total-attacks-stat-description,対象を攻撃する回数
toughness-stat-description,攻撃によって受けるダメージを減少
toxicity-stat-description,[toxicity]|毎にヒットに|[poison]|スタックを付与
wisdom-stat-description,<.>| 合計|[wisdom]|に応じて|[magic-damage]|出力を増加
enervation-status-effect-description,攻撃ダメージをスタックごとに25%減少
weakness-status-effect-description,スタック毎に全攻撃ダメージを25%減
black-curse-status-effect-description,全治癒力を75%減
curse-status-effect-description,全治癒力を75%減
stun-status-effect-description,一度付与すると、現ターンの間全アクションが使用不可
slowness-status-effect-description,[agility]|が100%減
confusion-status-effect-description,|[accuracy]| を100%低下
silence-status-effect-description,アビリティ使用不可
toxic-transmute-status-effect-description,体力にダメージを受けそうになるたびに;|\n|それを無効化し、|[poison]|に変換して|\n|自分に適用する
poison-status-effect-description,ターンの最後HPに直接ダメージ
bleed-status-effect-description,毎回の攻撃後; |[health]| に |[bleed-damage]| を受ける|\n|ダメージは |[bleed]| スタック % × |[max-health]| に等しい|\n|\n|<696969>毎ターン |[bleed]| が 2% 減少
sparkle-status-effect-description,対象へのヒットで全|[sparkle]|スタックが弾け、|\n|スタック毎に次の効果を付与：|\n|\n|- 攻撃者に|[ephemeral-armor]|を付与|\n|- 対象に|[dazzle-damage]|を付与|\n|\n
magic-shield-status-effect-description,アクティブ時、ダメージをすべてブロックした後、破壊して|\n|無効になる|\n|\n|<696969>（|[magic-damage]|<696969>では破壊しない）|\n
ephemeral-armor-status-effect-description,バトル後に消失する一時|[armor]|\n|\n|ダメージを受けた後|[ephemeral-lock]|を負う|\n
ephemeral-shell-status-effect-description,受けるダメージがスタックごとに12%減少
electro-charge-status-effect-description,各ターンに所有者に対して、スタックの数に等しい |[electric-damage]| を与える
ephemeral-lock-status-effect-description,[ephemeral-armor]|の受け取り不可
exhaustion-status-effect-description,[total-attacks]|を1に制限|\n
malice-shield-status-effect-description,次にヒットを受ける際に盾を1つ破壊し、|\n|[malice]*|<483a5d>+1|ダメージを無視する
armor-shield-status-effect-description,次にヒットを受ける際に、盾が1破壊され、|\n|[armor]*|<6d758d>+1|ダメージを無視する|\n
freeze-status-effect-description,あらゆる攻撃から25%の追加ダメージを受ける
fear-status-effect-description,バフの受け取り不可
invulnerability-status-effect-description,一切ダメージを受けない
arthurs-mark-status-effect-description,この印がある対象は|[block]|、|[parry]|、または|[dodge]|が使用できない|\n
timeout-status-effect-description,このターンでは何もできない
cinder-essence-status-effect-description,ターン開始時、|\n|すべての|[cinder-essence]|スタックを消費し、\n|スタック毎に|[immolate]|を発動する
combat-insight-status-effect-description,次に攻撃を受ける際に|\n|[combat-insight]|が5スタック以上ある場合、|\n|消費して|[parry]|\n
magic-blitz-status-effect-description,攻撃時、全スタックを消費してスタック毎に|\n|[magic-attack]|が100%増|\n
omni-blitz-status-effect-description,攻撃時、全スタックを消費してスタック毎に|\n|[physical-attack]|と|[magic-attack]|が100%増|\n
vimblow-status-effect-description,攻撃時、1スタックを消費して|[max-health]|の25%に等しい|\n|ボーナス|[physical-attack]|を獲得|\n
dread-status-effect-description,|[fear]| の敵は攻撃しない
fury-status-effect-description,[physical-attack]|を|[fury]|のスタック毎に25%増|\n|<696969>（バトル後にリセット）|\n|\n
counter-attack-charge-status-effect-description,加害者を攻撃する
multi-attack-charge-status-effect-description,このターンは [multi-attack]|
stun-attack-charge-status-effect-description,すべての攻撃が対象に |[stun]| を付与する
debuff-immunity-status-effect-description,すべてのデバフの適用を停止
golden-heart-status-effect-description,|[health]|が0になると:|\n|<.>| 復活し、|[max-health]|の25%分|[heal]|する|\n|[3@golden]|<.>| |[*3@golden]| |[invulnerability]|を獲得
lethality-status-effect-description,ターゲットに、% |[lethality]|と等しい% |[max-health]|以下にするダメージを与えると|\n|そのターゲットを|[execute]|する
madness-status-effect-description,自分自身のみを攻撃
blindness-status-effect-description,あなたの |[accuracy]| を100%低下
clarity-status-effect-description,次に|[stun]|を受ける際|\n||[clarity]|を1スタック消費して無効化する
elusive-status-effect-description,あなたへの攻撃は |[accuracy]| を100%失う
purification-status-effect-description,ターンの最後、1スタック消費して|[cleanse]|を発動する
grace-status-effect-description,全ダメージを増
curse-of-the-tower-status-effect-description,毎ターン、|[max-health]|の1%に等しい|[true-damage]|を受ける|\n|<696969>(戦闘が長引くと受ける)
unavoidable-keyword-description,攻撃が常に当たる
anti-steal-keyword-description,[steal]|から保護
ascend-keyword-description,フロア1から昇天ランを開始; 獲得する|[diamond]|\nが2倍になります|<696969>（各レベル+1）|\n|<ff4500>以前のランで使用されたフロア2以上のアイテムは|\n|<ff4500>削除されます
tinker-keyword-description,商人は渡したアイテムに次のことを行います：|\n|<.>| 鍛え直しとアイテムを工作キットに変換|\n|<.>| 鍛え直したアイテムをアップグレード
heal-keyword-description,キャラクターの現在の|[health]|を補給するアクション
tier-i-reward-keyword-description,<.>| |宝箱を開けると追加で|[diamond]|をゲット|\n|<.>| |+{gold} |[gold]|を持ってスタート
critical-strike-battle-action-description,[physical-damage]| |が100% + % |[critical-damage]|増
counter-attack-battle-action-description,攻撃者を攻撃
multi-attack-battle-action-description,1ターンですべての敵を攻撃
lucky-attack-battle-action-description,25%の追加ダメージを与える
armor-break-battle-action-description,対象の鎧を0にまで減少させ破壊
omni-crit-battle-action-description,|[physical-damage]| |と|[magic-damage]|が\n|100% + % |[critical-damage]増
polymorph-battle-action-description,最強の敵をランダムな敵に変身させ|\n|ステータスをリセットする
immolate-battle-action-description,前方のすべての敵に、|\n|自分の|[max-health]|の25%に等しい|[cinder-damage]| を与える
backstab-battle-action-description,敵にバックスタブで攻撃ダメージを与える|\n|<.>| |敵の|[max-health]|が75%超：ダメージが45%減少|\n|<.>| |敵の|[max-health]|が75%以下：攻撃は|\n| |[critical-strike]|になり、|[accuracy]|+25%
cleanse-battle-action-description,ランダムなデバフを1つ解除し、|[faith]|を25%減少させる|\n|<696969>バトル毎にリセット
dodge-battle-action-description,受けるダメージを回避|\n|\n|[dodge]|する毎に：|\n|[agility]|が25%減少|\n|\n|<696969>バトル毎にリセット
parry-battle-action-description,攻撃者にダメージとステータス効果を返す|\n|<696969>10回かわされると自分のターンが終了する
block-battle-action-description,受けるダメージを100%減
guard-battle-action-description,受けるダメージを25%減
miss-battle-action-description,攻撃が対象にヒットしない|\n|<696969>10回失敗するとターン終了
arcane-roulette-ability-description,|[magic-shield]| が壊れるたびに; ランダムな|\n|対象を攻撃\n|<696969>発動条件: |[magic-shield]| を展開中である
astral-dissolution-ability-description,対象からのすべてのバフを解除
barrier-ability-description,[magic-shield]|を獲得
bloodlust-aura-ability-description,全ての敵に|[madness]|を付与|\n|<696969>発動条件: 1ターン内に|[heal]|<696969> 自分の|[max-health]|<696969>の25%
burden-of-power-ability-description,ターン開始時; |[fear]|が付与された全ての敵から攻撃ダメージの75%を奪う|\n||\n|<696969>発動条件: 敵に|[fear]|<696969>を付与
confusion-strike-ability-description,ヒット時|[confusion]|を2スタック付与
death-strike-ability-description,このターン、\n|100% |[crit-chance]|を獲得
drain-react-ability-description,全ての敵に|[enervation]|を5スタック付与|\n|<696969>発動条件: |[poison]|を持つ敵から攻撃を受ける
drop-of-chaos-ability-description,対象にランダムなデバフを付与
enchanted-attack-ability-description,このターンで攻撃ダメージ100%増
fear-of-faith-ability-description,[invulnerability]|を2スタック獲得
frozen-strike-ability-description,ヒット時、対象に|[weakness]|を3スタック付与
frozen-wind-ability-description,対象に|[weakness]|を付与し、その後攻撃
galefire-ability-description,対象に|[slowness]|を付与
headbutt-ability-description,ヒット時にターゲットに|[stun]|を適用
heart-of-iron-ability-description,|[health]|と同量の|[armor]|を得る|\n|<696969>発動条件: 3回被弾|\n|<696969>毎戦闘でリセット
mana-regen-ability-description,すべての失われた|[mana]|を回復
mind-control-ability-description,すべての対象に|[confusion]|を付与
multi-cleanse-ability-description,自分と味方全員を|[cleanse]
multi-heal-ability-description,自分と味方全員のHPを25%回復
multi-magic-shield-ability-description,自分と味方全員に|[magic-shield]|を付与
multi-shield-ability-description,自分と味方全員に、|[health]|に等しい|\n|[ephemeral-armor]|を付与
multi-stun-ability-description,|[multi-attack-charge]|と|[stun-attack-charge]|を得て;|\n|その後攻撃|\n|<696969>発動条件: 攻撃をパリィ|\n|<696969>毎戦闘でリセット
my-justice-ability-description,このターン; |[invulnerability]|と|[counter-attack-charge]|を得る|\n|<696969>発動条件: |[invulnerability]|を獲得
my-way-ability-description,このターン; |[counter-attack-charge]|を得る|\n|<696969>発動条件: 3回攻撃
noxious-empowerment-ability-description,このターンで|[toxicity]|が2倍
persistent-payback-ability-description,このターンで|[counter-attack]
prowlers-strike-ability-description,このターン敵に命中するたび; |[agility]|を{agility-amount}%獲得|\n|<696969>発動条件: |[dodge]|<696969>を少なくとも1回
replay-ability-description,最後に模倣したアビリティを発動|\n|<696969>発動条件: アビリティを模倣する
repulse-ability-description,このターンで|[parry]
safeguard-ability-description,自分と味方全員に|[max-health]|の25%に等しい|\n|[armor]|を付与
shatter-strike-ability-description,ヒット時|[armor-break]
silhouette-ability-description,|[elusive]|になって攻撃|\n|<696969>発動条件: |[backstab]|\n|<696969>毎戦闘でリセット
spell-bind-ability-description,対象に|[silence]|を付与
steady-grip-ability-description,この戦闘中; |[total-attacks]| を1増やす
steal-ability-description,対象から|[gold]|を25%奪う
stun-attack-ability-description,ヒット時に対象に|[stun]|を付与
stun-strike-ability-description,ヒット時にターゲットに|[stun]|を適用
toxic-attack-ability-description,対象に攻撃がヒットする際、1 |[poison]を付与
venom-spit-ability-description,合計 |[toxicity]| と等しい |[poison]| スタックを|\n|対象に付与
absolution-passive-description,攻撃するたび、ランダムな敵1体に5|[magic-damage]|\n|を与える
all-is-mine-passive-description,ターン開始時、対象からのすべての|\n|バフを奪う
arcane-control-passive-description,攻撃を回避するたび; |[magic-shield]|が壊れ; 即座に再展開する
arcane-equilibrium-passive-description,毎ターン終了時、全員の|[invulnerability]|を|\n|[magic-shield]|に変換する
battleborn-passive-description,|[parry]|のたびに; 対象に|[stun]|
battleforged-heart-passive-description,|[armor]| がダメージを受けたら、その量を |[max-health]| に変換|\n|<696969>戦闘ごとにリセット
beyond-the-grave-passive-description,ターン終了時、相手のステータス効果を変換|\n|<.>| |[weakness]|を|[enervation]| に|\n|<.>| |[curse]| を |[black-curse]|に
bloodedges-blood-slash-passive-description,攻撃する直前、|[health]|の10%を|\n|[physical-attack]|に変換する|\n|<696969>バトル毎にリセット
cinder-touch-passive-description,ヒット時|[immolate]
combat-instinct-passive-description,|[parry]|ダメージが2倍になる
consuming-darkness-passive-description,|[fear]|と|[confusion]|が付いた敵が倒されたとき;|\n|その基礎ステータスを全て獲得 |<696969>(毎戦闘でリセット)
crimson-pact-passive-description,|[health]|が45%未満になると; 全ての敵に|\n|[confusion]|を適用
critical-focus-passive-description,あなたの |[critical-strike]| または |[omni-crit]| 攻撃は\n| |[accuracy]| +25%
crystal-hardening-passive-description,最初のターンでダメージを受けない
crystal-insight-passive-description,初手に |[magic-attack]| +100% を得る
cursed-chain-passive-description,攻撃が当たらなくとも|\n|ヒット時ステータス効果を付与
edens-wish-passive-description,毎ターン開始時; ランダムな味方に|\n|ランダムな加護または強化を付与
edge-of-death-passive-description,初回ターンで、|[health]|は1以下にならない
edge-of-the-ruined-passive-description,|[curse]|または|[black-curse]|がある間：|\n|攻撃は対象の|[health]|の11%に等しい|\n|追加ダメージを与える
eldrids-fury-passive-description,治癒するたび、<696969>1ターンにつき1回、|\n|[vimblow]|を1スタック獲得
empty-bastion-passive-description,|[armor]|が8倍になる; ただし; 各バトル開始時の|\n||[active-armor]|は0になる
emulator-passive-description,ターンの終了時にデバフを再適用する
escape-passive-description,盗みを試みた後; 戦闘を離脱する
evil-mark-passive-description,ターン開始時、対象に|\n|[curse]|を付与する
exploited-opportunity-passive-description,|[dodge]|後攻撃者を|[stun]|させる
faded-discipline-passive-description,|[total-attacks]|+5を得るが、最初の5回の|\n|攻撃は99%少ないダメージを与える
faultbreaker-passive-description,攻撃は、対象の|[active-armor]|を|\n|75%以下にして、|[armor-break]
fear-of-pain-passive-description,このターンにダメージを受けたターゲットを攻撃しない
folly-of-kings-passive-description,毎ターンランダムなステータス効果を受け、|\n|2ターンごとに|[polymorph]|する
freedom-drive-passive-description,|[invulnerability]|を持つ間、|[tenacity]|+100%を得る
golden-altruism-passive-description,味方全員に |[golden-heart]| を付与
growing-anger-passive-description,命中のたびに |[crit-chance]| +5% |<696969>(毎戦闘でリセット)
iron-pact-passive-description,|[active-armor]| が0%になるたび、|[health]|を10%消費して |[active-armor]| に変換
ironclad-passive-description,[block]
judgments-call-passive-description,攻撃により、|[cleanse]|で自分が解除したデバフを|\n|付与（バトル毎にリセット）
liberation-passive-description,すべての|[armor]|を|[adaptive-attack]|に変換
litany-of-malice-passive-description,対象にかかっているユニークなステータス効果ごとに、|\n|追加で+25%の |[malice-damage]| を与える
luminous-trial-passive-description,<.>| 戦闘開始時に |[blindness]| を1スタック付与|<|\n||<.>| 相手は |[miss]| 1回ごとに |[accuracy]| +25%
magical-frostflare-passive-description,|[freeze]|を持つ敵に与えた|[magic-damage]|と|\n|等しい|[ephemeral-armor]|を得る
mana-steal-passive-description,ヒット時1|[mana]|をスティール
manaflow-passive-description,自分の|[max-mana]|を1にセットする
mimicry-passive-description,対象のアビリティを使用する
plated-rot-passive-description,|[armor]|に与えられたダメージは; |[max-health]|に変換される
prime-guard-passive-description,パッシブの所有者が倒されるまで、他の敵が受けるダメージが99%減少する
shaded-essence-passive-description,敵に|[silence]|とともに|[magic-damage]|を375%付与
shattered-breath-passive-description,|[parry]|するたびに、対象に|[exhaustion]|を適用する
shatterwave-passive-description,敵に攻撃がヒットする際、|\n|自分の攻撃ダメージの25%を隣接する敵に与える
spell-block-passive-description,ターンの開始時; アビリティを持つ最初の敵に|[silence]|\n|を適用
strike-of-destiny-passive-description,|[invulnerability]|がある場合、ヒット時にターゲットからすべてのバフを解除
thunderstrike-passive-description,ヒット時、対象が|[electro-charge]|を持つ場合、|[stun]|を付与
toxic-redemption-passive-description,敵を倒すと、自分の|[poison]|をすべて除去し、除去した毒の量に等しい|\n||[physical-damage]|をすべての敵に与える
toxshield-passive-description,自分のターン中に |[poison-damage]| が与えられるたびに;\n|同量の |[ephemeral-armor]| を得る
undead-blessing-passive-description,味方が死亡すると、|\n|[purification]|を1スタック獲得
undying-curse-passive-description,死亡時; |[curse]|\n|を殺害者に適用
vengeful-edge-passive-description,|[counter-attack]| を行うと; もう一度 |[counter-attack]|
warriors-resolute-passive-description,最初の3ターンで|[clarity]|を得る
wind’s-grace-passive-description,全ての味方に|[swiftness]|を付与する
wrath-of-the-broken-flesh-passive-description,体力がダメージを受けるたびに、|[fury]|のスタックを1つ獲得
ancient-ice-item-set-description,[1@ancient-ice]|[*1@ancient-ice]|<.>| |[freeze]|状態の敵に与えた|[freeze-damage]|と|\n| 等しい|[ephemeral-armor]|を受け取る|\n|\n|<.>| 最初のターンの終了時; 全ての敵に|[freeze]|を|\n| 適用する
ancient-shell-item-set-description,このターンにスタンスを使用した場合：|\n|[1@ancient-shell]|[*1@ancient-shell]| |[toughness]| はあらゆる種類のダメージを軽減する|\n|[3@ancient-shell]|[*3@ancient-shell]| ターン終了時に|[ephemeral-shell]|を受け取る|\n|[5@ancient-shell]|[*5@ancient-shell]| ターン終了時に|[ephemeral-lock]|を解除
arcanum-item-set-description,[1@arcanum]|[*1@arcanum]| |[magic-shield]| が有効な間; |<7569f5>+375%|[magic-damage]| を獲得|\n|[2@arcanum]|[*2@arcanum]| ターン終了時に |[magic-shield]| を獲得|\n|[4@arcanum]|[*4@arcanum]| 敵を倒した後; |[magic-shield]| を獲得
bastolic-item-set-description,[1@bastolic]|[*1@bastolic]| |[magic-damage]|を与えると、ランダムな敵に|\n| |({magic_damage})|<7569f5>最大体力の5%|を追加で与える|\n|\n|[2@bastolic]|[*2@bastolic]| 最初のターンに受けた|[magic-damage]|は|\n| |[max-health]|に変換される|\n|<696969>戦闘ごとにリセット
berserker-item-set-description,[1@berserker]|[*1@berserker]| 失った|[health]|に基づいてボーナス|[total-attacks]|を獲得:|\n| |<.>| 25% -> +1 |[total-attacks]|\n| |<.>| 50% -> +3 |[total-attacks]|\n| |<.>| 75% -> +6 |[total-attacks]|\n|\n|[2@berserker]|[*2@berserker]| |[health]|が25%未満の間; 100%の|[tenacity]|を獲得
blackthorn-item-set-description,攻撃からのダメージを受けると、|\n|<.> |[magic-damage]|として攻撃者に|[active-armor]*|を付与
cataclysm-item-set-description,敵全員に最大45%の |[lethality]
celestial-item-set-description,ダメージを受けると、受けたダメージを|[elemental-power]|に変換|\n|<696969>バトル毎にリセット
chromalure-item-set-description,[1@chromalure]|[*1@chromalure]| |[poison]|適用後、対象にその量と|\n| 等しい|[poison-damage]|を与える|\n|\n|[3@chromalure]|[*3@chromalure]| 毎ターン開始時、|[toxic-transmute]|を受け取る[0@chromalure]
cursed-item-set-description,[1@cursed]|[*1@cursed]| 戦闘開始時、|[curse]|と|[malice-shield]| を5スタック受ける|\n|\n|[3@cursed]|[*3@cursed]| 与える |[malice-damage]| は |[curse]|を持つすべての敵に拡散する
darkness-item-set-description,[1@darkness]|[*1@darkness]| ターン開始時、自分より攻撃ダメージの低い全ての敵に|[fear]|を適用|[3@darkness]|\n|[*3@darkness]| 敵を倒した後、|[dread]|を2スタック受け取る|[4@darkness]|\n|[*4@darkness]| 最初のターン開始時に|[madness]|を受け取る[0@darkness]
demonic-item-set-description,[1@demonic]|[*1@demonic]| 基本|[max-health]|25ごとに|\n| |[physical-attack]|1%を獲得|\n|\n|[3@demonic]|[*3@demonic]| 最初のターン開始時に|[multi-attack-charge]|を受け取る
flesh-item-set-description,|[max-health]| を超えて |[heal]| 可能\n|<696969>超過分は\n|<696969>ターン終了時に削除
generic-item-set-description,すべてのアクティブなアイテムセットに+1としてカウントされる
golden-item-set-description,バトル開始のたびに|[golden-heart]|を獲得
hunter-item-set-description,[1@hunter]|[*1@hunter]| 100%を超える|[crit-chance]|1%ごとに|\n| |[critical-damage]|10%へ変換される|\n|[3@hunter]|[*3@hunter]| 対象はあなたの|[critical-strike]|攻撃を|[dodge]|できない
jade-item-set-description,対象の|[sparkle]|スタックを弾くと、すべて再度付与する
legacy-item-set-description,<.>| 戦闘開始時、|[invulnerability]|を受け取る|\n|\n|<.>| 最初のターンの終了時、ランダムな敵に|[arthurs-mark]|のスタックを適用|\n|\n|<.>| |[arthurs-mark]|を持つ敵が死ぬと、|\n| 別の敵に適用される
magma-item-set-description,ターン開始前に、||\n||[cinder-essence]|を1スタック付与する
mercenary-item-set-description,対象の|[health]|が90%超の場合：|\n|[1@mercenary]|[1@mercenary]| 25%|<00cd58> +|[luck]|増加した攻撃ダメージを与える|\n|[3@mercenary]|[*3@mercenary]| このターン、|[total-attacks]|+1を獲得
