id,english,french,german,spanish,japanese,koreana,polish,portuguese,russian,schinese,tchinese
believers-locket-item-name,Believer's Locket,Médaillon des croyants,Gläubigenmedaillon,Medallón de creyente,信者のロケット,신도의 펜던트,Medalion wiernego,Medalhão do Fiel,Медальон ревнителя,信徒吊坠,信徒吊墜
silver-axe-item-name,Silver Axe,Hache en argent,Silberaxt,Hacha de plata,銀の斧,실버 도끼,Srebrny topór,Machado de Prata,Серебряный топор,白银斧,銀斧
tome-of-arcanum-item-name,Tome of Arcanum,Tome d'Arcanum,Buch des Arkanum,Tomo arcano,アルカナムの書物,아르카누스의 책,Księga wiedzy tajemnej,Tomo de Arcanum,Фолиант Арканума,奥秘巨著,奧術之書
arcanum-hood-item-name,Arcanum Hood,Capuche des Arcanes,Kapuze des Arkanums,Capucha Arcana,アルカナムフード,아르카눔 후드,Kaptur Arkanum,Capuz Arcano,Капюшон Тайны,奥术兜帽,奧術兜帽
golden-dagger-item-name,Golden Dagger,Dague en or,Golddolch,Daga de oro,金の短剣,골드 단검,Złoty sztylet,Adaga de Ouro,Золотой кинжал,黄金匕首,金匕首
golden-sabatons-item-name,Golden Sabatons,Solerets en or,Goldschuhe,Escarpes de oro,金のサバトン,골드 사바톤,Złote trzewiki,Escarpes de Ouro,Золотые сабатоны,黄金铠靴,金鎧靴
golden-helmet-item-name,Golden Helmet,Casque en or,Goldhelm,Casco de oro,金の兜,골드 헬멧,Złoty hełm,Elmo de Ouro,Золотой шлем,黄金头盔,金頭盔
arcanum-shoes-item-name,Arcanum Shoes,Chaussures d'Arcanum,Arkanum-Schuhe,Zapatos arcanos,アルカナムの靴,아르카누스의 신발,Buty wiedzy tajemnej,Sapatos de Arcanum,Ботинки Арканума,奥秘鞋,奧術鞋
golden-leggings-item-name,Golden Leggings,Jambières en or,Goldbüx,Mallas de oro,金のレギンス,골드 각반,Złote nogawice,Perneiras de Ouro,Золотые поножи,黄金长裤,金護腿
arcanum-robe-item-name,Arcanum Robe,Robe d'Arcanum,Arkanum-Robe,Túnica arcana,アルカナムのローブ,아르카누스의 가운,Szata wiedzy tajemnej,Veste de Arcanum,Мантия Арканума,奥秘长袍,奧術袍
golden-chestplate-item-name,Golden Chestplate,Plastron en or,Goldbrustplatte,Coraza de oro,金のチェストプレート,골드 흉갑,Złoty napierśnik,Couraça de Ouro,Золотой нагрудник,黄金胸甲,金胸甲
precious-ring-item-name,Precious Ring,Anneau précieux,Edler Ring,Anillo atesorado,貴重な指輪,귀한 반지,Drogocenny pierścień,Anel Precioso,Драгоценное кольцо,珍贵戒指,珍貴戒指
magic-wand-item-name,Magic Wand,Baguette magique,Zauberstab,Varita mágica,魔法の杖,마법의 지팡이,Magiczna różdżka,Varinha Mágica,Волшебная палочка,魔法杖,魔法棒
golden-crown-item-name,Golden Crown,Couronne en or,Goldkrone,Corona de oro,金の冠,골드 왕관,Złota korona,Coroa de Ouro,Золотая корона,黄金冠,金冠
golden-warden-item-name,Golden Warden,Gardien en or,Goldwächter,Collar de oro,金のウォーデン,골드 워든,Złoty Strażnik,Talismã de Ouro,Золотой страж,黄金链领,黃金守護
greeds-grasp-item-name,Greed's Grasp,Poigne de l'avarice,Giergriff,Garra de la codicia,グリードの掌握,탐욕의 지배,Chwyt Chciwości,Domínio da Ganância,Алчная хватка,贪婪之攫,貪婪之握
golden-sword-item-name,Golden Sword,Épée en or,Goldschwert,Espada de oro,金の剣,골드 검,Złoty miecz,Espada de Ouro,Золотой меч,黄金剑,金劍
omni-ring-item-name,Omni Ring,Omnibague,Omni-Ring,Omnianillo,オムニ指輪,무한 반지,Wszechpierścień,Onianel,Всекольцо,全能戒指,全能戒指
darkwood-plates-item-name,Darkwood Plates,Armure en bois sombre,Dunkelholzrüstung,Armadura de madera oscura,ダークウッドアーマー,다크우드 아머,Zbroja z ciemnego drewna,Armadura de madeira sombria,Броня из темного дерева,黑檀木甲,黑檀木甲
tome-of-attacks-item-name,Tome of Attacks,Tome des Attaques,Wälzer der Angriffe,Tomo de Ataques,攻撃の書,공격의 마도서,Księga Ataków,Tomo de Ataques,Фолиант Атак,攻击之书,攻擊之書
warriors-sabatons-item-name,Warrior's Sabatons,Solerets de guerrier,Kriegereisenschuhe,Escarpes de guerrero,戦士のサバトン,전사의 사바톤,Trzewiki wojownika,Escarpes de Guerreiro,Сабатоны воина,勇士铠靴,勇士鎧靴
hunger-blade-item-name,Hunger Blade,Lame de la faim,Hungerklinge,Filo hambriento,ハンガーブレード,굶주린 칼날,Ostrze łowcy,Lâmina da Fome,Клинок голода,饥饿之刃,飢餓之刃
warriors-helmet-item-name,Warrior's Helmet,Casque de guerrier,Kriegerhelm,Casco de guerrero,戦士の兜,전사의 헬멧,Hełm wojownika,Elmo de Guerreiro,Шлем воина,勇士头盔,勇士頭盔
famished-blade-item-name,Famished Blade,Lame de famine,Ausgehungerte Klinge,Filo famélico,飢えたブレード,허기진 칼날,Wygłodzone ostrze,Lâmina Famélica,Клинок истощения,饥渴之刃,饑饉之刃
unchained-gauntlet-item-name,Unchained Gauntlet,Gantelet déchaîné,Entfesselter Handschuh,Guantelete desbocado,解放のガントレット,비연쇄 장갑,Wyzwolona rękawica,Manopla Desacorrentada,Перчатки освобождения,无垠护手,無束臂鎧
blackthorn-sabatons-item-name,Blackthorn Sabatons,Solerets de Roncenoire,Schwarzdorn-Sabatons,Escarpes de espinas negras,ブラックソーンのサバトン,산사나무 발덮개,Szabaty czarnego ciernia,Botas de Espinegro,Терновые сабатоны,黑棘马靴,黑棘馬靴
warriors-leggings-item-name,Warrior's Leggings,Jambières de guerrier,Kriegerbüx,Mallas de guerrero,戦士のレギンス,전사의 각반,Nogawice wojownika,Perneiras de Guerreiro,Поножи воина,勇士长裤,勇士護腿
blackthorn-leggings-item-name,Blackthorn Leggings,Jambières de Roncenoire,Schwarzdorn-Gamaschen,Grebas de espinas negras,ブラックソーンのレギンス,산사나무 다리갑옷,Nogawice czarnego ciernia,Perneiras de Espinegro,Терновые поножи,黑棘护腿,黑棘护腿
warriors-chestplate-item-name,Warrior's Chestplate,Plastron de guerrier,Kriegerbrustplatte,Coraza de guerrero,戦士のチェストプレート,전사의 흉갑,Napierśnik wojownika,Couraça de Guerreiro,Нагрудник воина,勇士胸甲,勇士胸甲
warriors-war-hammer-item-name,Warrior's War Hammer,Marteau de guerre de guerrier,Krieger-Kriegshammer,Martillo de guerra de guerrero,戦士のハンマー,전사의 전투용 도끼,Młot bojowy wojownika,Martelo de Guerra de Guerreiro,Боевой молот воина,勇士战锤,勇士戰鎚
blackthorn-chestplate-item-name,Blackthorn Chestplate,Plastron de Roncenoire,Schwarzdorn-Brustplatte,Coraza de espinas negras,ブラックソーンのチェストプレート,산사나무 흉갑,Napierśnik czarnego ciernia,Couraça de Espinegro,Терновый нагрудник,黑棘胸甲,黑棘胸甲
unchained-ring-item-name,Unchained Ring,Anneau déchaîné,Entfesselter Ring,Anillo desbocado,解放の指輪,속박되지 않은 반지,Wyzwolony pierścień,Anel Desacorrentado,Кольцо освобождения,无垠戒指,無束戒指
hy-sword-item-name,HySword,ÉpéeHy,HySchwert,EspadaHy,ハイソード,하이소드,HyMiecz,HyEspada,Гипермеч,高剑,高劍
pantaloons-of-greatness-item-name,Pantaloons of Greatness,Pantalon de magnificence,Pantalons der Herrlichkeit,Pantalones de grandeza,偉大なるパンタロン,위인의 판탈롱,Pantalony wspaniałości,Calças da Grandeza,Кальсоны величия,伟人笼裤,偉人馬褲
warriors-ring-item-name,Warrior's Ring,Anneau de guerrier,Kriegerring,Anillo de guerrero,戦士の指輪,전사의 반지,Pierścień wojownika,Anel de Guerreiro,Кольцо воина,勇士戒指,勇士戒指
blackthorn-crown-item-name,Blackthorn Crown,Couronne de Roncenoire,Schwarzdorn-Krone,Corona de espinas negras,ブラックソーンの冠,산사나무 왕관,Korona czarnego ciernia,Coroa de Espinegro,Терновая корона,黑棘冠,黑棘冠
orions-core-item-name,Orion's Core,Essence d'Orion,Orions Kern,Núcleo de Orión,オリオンのコア,오리온의 중심,Rdzeń Oriona,Cerne de Órion,Ядро Ориона,俄里翁之核,奧利恩之核
orions-path-item-name,Orion's Path,Traces d'Orion,Orions Pfad,Camino de Orión,オリオンの道,오리온의 길,Ścieżka Oriona,Caminho de Órion,Путь Ориона,俄里翁之路,奧利恩之路
orions-destiny-item-name,Orion's Destiny,Destin d'Orion,Orions Bestimmung,Destino de Orión,オリオンの運命,오리온의 운명,Przeznaczenie Oriona,Destino de Órion,Судьба Ориона,俄里翁之命,奧利恩命運
orions-leggings-item-name,Orion's Leggings,Jambières d'Orion,Orions Büx,Mallas de Orión,オリオンのレギンス,오리온의 각반,Nogawice Oriona,Perneiras de Órion,Поножи Ориона,俄里翁长裤,奧利恩護腿
orions-sanguine-salvation-item-name,Orion's Sanguine Salvation,Salut sanguin d'Orion,Orions blutige Erlösung,Salvación sangrienta de Orión,オリオンの血滾る救済,오리온의 희망찬 구원,Krwawe Zbawienie Oriona,Salvação Sanguínea de Órion,Багровое спасение Ориона,俄里翁的豁达救赎,奧利恩血之救贖
orions-heart-item-name,Orion's Heart,Cœur d'Orion,Orions Herz,Corazón de Orión,オリオンの心臓,오리온의 심장,Serce Oriona,Coração de Órion,Сердце Ориона,俄里翁之心,奧利恩之心
orions-rage-item-name,Orion's Rage,Rage d'Orion,Orions Zorn,Furia de Orión,オリオンの憤怒,오리온의 격노,Furia Oriona,Cólera de Órion,Ярость Ориона,俄里翁之怒,奧利恩之怒
living-boots-item-name,Living Boots,Bottes vivantes,Lebendige Stiefel,Botas animadas,生けるブーツ,살아있는 부츠,Żywe buty,Botas Vivas,Живые ботинки,活靴,活靴
living-helmet-item-name,Living Helmet,Casque vivant,Lebendiger Helm,Casco animado,生ける兜,살아있는 헬멧,Żywy hełm,Elmo Vivo,Живой шлем,活头盔,活頭盔
living-leggings-item-name,Living Leggings,Jambières vivantes,Lebendige Büx,Mallas animadas,生けるレギンス,살아있는 각반,Żywe nogawice,Perneiras Vivas,Живые поножи,活长裤,活護腿
living-chestplate-item-name,Living Chestplate,Plastron vivant,Lebendige Brustplatte,Coraza animada,生けるチェストプレート,살아있는 흉갑,Żywy napierśnik,Couraça Viva,Живой нагрудник,活胸甲,活胸甲
berserkers-axe-item-name,Berserker's Axe,Hache de berserker,Berserkeraxt,Hacha de berserker,ベルセルクの斧,광전사의 도끼,Topór berserka,Machado de Berserker,Топор берсерка,狂战士之斧,狂戰士之斧
berserkers-helmet-item-name,Berserker's Helmet,Casque de Berserker,Berserkerhelm,Casco de Berserker,バーサーカーヘルメット,광전사의 헬멧,Hełm Berserkera,Elmo do Berserker,Шлем берсерка,狂战士头盔,狂戰士頭盔
eldrids-ring-item-name,Eldrid's Ring,Anneau d'Eldrid,Eldrids Ring,Anillo de Eldrid,エルドリドの指輪,엘드리드의 반지,Pierścień Eldrida,Anel de Eldrid,Кольцо Элдрида,艾萃德戒指,艾翠德戒指
ring-of-power-item-name,Ring of Power,Anneau de pouvoir,Ring der Macht,Anillo de poder,パワーの指輪,파워 반지,Pierścień mocy,Anel do Poder,Кольцо силы,力量戒指,力量戒指
silver-heart-item-name,Silver Heart,Cœur d'Argent,Silberherz,Corazón de Plata,シルバーハート,실버 하트,Srebrne Serce,Coração de Prata,Серебряное сердце,白银之心,白銀之心
thunderiders-item-name,Thunderiders,Bottes du tonnerre,Donnerreiter,Jinetes del trueno,サンダーライダー,천둥의 기수들,Jeźdźcy Gromu,Botastrovão,Громовсадники,雷霆骑者,雷霆騎士
thunderhelm-item-name,Thunderhelm,Heaume du tonnerre,Donnerhelm,Yelmo del trueno,サンダーヘルム,천둥의 헬멧,Hełm gromu,Elmotrovão,Громошлем,雷霆头盔,雷霆頭盔
royal-sabatons-item-name,Royal Sabatons,Solerets royaux,Königseisenschuhe,Escarpes reales,王家のサバトン,왕족의 사바톤,Królewskie trzewiki,Escarpes Reais,Королевские сабатоны,皇家铠靴,皇家鎧靴
royal-helmet-item-name,Royal Helmet,Casque royal,Königshelm,Casco real,王家の兜,왕족의 헬멧,Królewski hełm,Elmo Real,Королевский шлем,皇家头盔,皇家頭盔
royal-leggings-item-name,Royal Leggings,Jambières royales,Königsbüx,Mallas reales,王家のレギンス,왕족의 각반,Królewskie nogawice,Perneiras Reais,Королевские поножи,皇家长裤,皇家護腿
thunderstriders-item-name,Thunderstriders,Jambières du tonnerre,Donnerschreiter,Caminantes del trueno,サンダーストライダー,천둥의 주자들,Kroki Gromu,Montetrovão,Громостранники,雷霆踏者,雷霆行者
royal-chestplate-item-name,Royal Chestplate,Plastron royal,Königsbrustplatte,Coraza real,王家のチェストプレート,왕족의 흉갑,Królewski napierśnik,Couraça Real,Королевский нагрудник,皇家胸甲,皇家胸甲
thundergrace-item-name,Thundergrace,Grâce du tonnerre,Donnergnade,Gracia del trueno,サンダーグレース,천둥의 품위,Gracja Gromu,Graçatrovão,Громомилость,雷霆恩典,雷霆恩典
thunderblade-item-name,Thunderblade,Lame du tonnerre,Donnerklinge,Espada del trueno,サンダーブレード,천둥의 칼날,Ostrze gromu,Lâminatrovão,Громоклинок,雷霆之刃,雷霆之刃
thundervow-item-name,Thundervow,Vœu du tonnerre,Donnerschwur,Juramento del trueno,サンダーバウ,천둥의 서약,Przysięga Gromu,Vototrovão,Громоклятва,雷霆誓言,雷霆之誓
iron-eater-item-name,Iron Eater,Mangefer,Eisenfresser,Comehierro,鉄喰い,강철 포식자,Pożeracz żelaza,Devorador de Ferro,Пожиратель железа,食铁者,食鐵者
tome-of-darkness-item-name,Tome of Darkness,Tome des ténèbres,Buch der Finsternis,Tomo de oscuridad,闇の書物,어둠의 책,Księga ciemności,Tomo da Escuridão,Фолиант тьмы,暗黑巨著,暗黑之書
witherscar-item-name,Witherscar,Flétrissure,Welknarbe,Cicatriz marchitada,腐毒,오래된 상처,Blizna Uschnięcia,Putrefativo,Губительный шрам,枯萎伤痕,枯萎之痕
dark-magical-ring-item-name,Dark Magical Ring,Anneau de magie noire,Dunkler magischer Ring,Anillo de magia negra,闇の魔法の指輪,어둠의 마법 반지,Czarnomagiczny pierścień,Anel Mágico Maligno,Кольцо темной магии,黑魔法戒指,黑魔法戒指
nighthorn-item-name,Nighthorn,Roncenuit,Nachtdorn,Cuerno nocturno,ナイトソーン,나이트혼,Nocny Cierń,Espinoturno,Шип ночи,夜棘,夜棘
ashcrow-item-name,Ashcrow,Cendrecorbeau,Aschkräh,Cenicuervo,灰鴉,잿울,Popiołkruk,Corvacinha,Пепрок,灰鸦,灰鴉
dark-harness-item-name,Dark Harness,Harnais noir,Dunkler Harnisch,Arnés de oscuridad,闇のハーネス,어둠의 벨트,Mroczna uprząż,Arreio Maligno,Темная портупея,深黑挽具,暗黑輓具
alchemists-wisdom-item-name,Alchemist's Wisdom,Sagesse de l'alchimiste,Alchemisten-Weisheit,Sabiduría de alquimista,錬金術師の知恵,연금술사의 지능,Mądrość Alchemika,Sabedoria de Alquimista,Мудрость алхимика,炼金术师之智慧,煉金師智慧
shadow-wisdom-item-name,Shadow Wisdom,Sagesse de l'ombre,Schattenweisheit,Sabiduría sombría,影の知恵,그림자 지능,Mądrość Cieni,Sabedoria das Sombras,Мудрость тени,暗影智慧,暗影智慧
shadow-ring-item-name,Shadow Ring,Anneau de l'ombre,Schattenring,Anillo sombrío,影の指輪,그림자 반지,Pierścień cieni,Anel das Sombras,Кольцо тени,暗影戒指,暗影戒指
shadow-piercer-item-name,Shadow Piercer,Pointe de l'ombre,Schattenstanzer,Aguja sombría,影の槍,그림자 귀걸이,Przebijacz Cieni,Perfurador das Sombras,Пронзатель тени,暗影穿刺,暗影刺槍
demonic-sabatons-item-name,Demonic Sabatons,Solerets démoniaques,Dämonische Eisenschuhe,Escarpes demoniacos,悪魔のサバトン,악령의 사바톤,Demoniczne trzewiki,Escarpes Demoníacas,Демонические сабатоны,恶魔铠靴,惡魔鎧靴
shadow-cloak-item-name,Shadow Cloak,Cape d'ombre,Schattenmantel,Capa sombría,影のマント,그림자 망토,Opończa cieni,Manto das Sombras,Плащ тени,暗影斗篷,暗影斗篷
shadow-echo-item-name,Shadow Echo,Écho de l'ombre,Schattenecho,Eco sombrío,影のエコー,그림자 울림,Echo Cieni,Eco das Sombras,Эхо тени,暗影回响,暗影回音
demonic-helmet-item-name,Demonic Helmet,Casque démoniaque,Dämonischer Helm,Casco demoniaco,悪魔の兜,악령의 헬멧,Demoniczny hełm,Elmo Demoníaco,Демонический шлем,恶魔头盔,惡魔頭盔
demonic-axe-item-name,Demonic Axe,Hache démoniaque,Dämonische Axt,Hacha demoniaca,悪魔の斧,악령의 도끼,Demoniczny topór,Machado Demoníaco,Демонический топор,恶魔斧,惡魔斧
shadow-sentence-item-name,Shadow Sentence,Sentence de l'ombre,Schattenstrafe,Sentencia sombría,影の宣告,그림자 형벌,Wyrok Cieni,Sentença das Sombras,Приговор тени,暗影审判,暗影審判
shadow-vortex-item-name,Shadow Vortex,Vortex de l'ombre,Schattenwirbel,Vórtice sombrío,影の渦,그림자 소용돌이,Wir Cieni,Vórtice das Sombras,Вихрь тени,暗影旋涡,暗影旋渦
demonic-leggings-item-name,Demonic Leggings,Jambières démoniaques,Dämonische Büx,Mallas demoniacas,悪魔のレギンス,악령의 각반,Demoniczne nogawice,Perneiras Demoníacas,Демонические поножи,恶魔长裤,惡魔護腿
demonic-claymore-item-name,Demonic Claymore,Claymore démoniaque,Dämonisches Breitschwert,Espadón demoniaco,悪魔のクレイモア,악령의 클레이모어,Demoniczny wielki miecz,Claymore Demoníaca,Демонический палаш,恶魔大剑,惡魔闊劍
demonic-chestplate-item-name,Demonic Chestplate,Plastron démoniaque,Dämonische Brustplatte,Coraza demoniaca,悪魔のチェストプレート,악령의 흉갑,Demoniczny napierśnik,Couraça Demoníaca,Демонический нагрудник,恶魔胸甲,惡魔胸甲
demonic-ring-item-name,Demonic Ring,Anneau démoniaque,Dämonischer Ring,Anillo demoniaco,悪魔の指輪,악령의 반지,Demoniczny pierścień,Anel Demoníaco,Демоническое кольцо,恶魔戒指,惡魔戒指
shard-of-power-item-name,Shard of Power,Éclat de Pouvoir,Scherbe der Macht,Fragmento de Poder,力の欠片,힘의 조각,Odłamek Mocy,Fragmento de Poder,Осколок силы,力量碎片,力量碎片
emperors-will-item-name,Emperor's Will,Volonté de l'Empereur,Des Kaisers Wille,Voluntad del emperador,皇帝の意志,황제의 의지,Wola Cesarza,Vontade do Imperador,Воля императора,帝王意志,帝王意志
wooden-crown-item-name,Wooden Crown,Couronne en bois,Holzkrone,Corona de madera,木の冠,나무 왕관,Drewniana korona,Coroa de Madeira,Деревянная корона,木冠,木冠
witchcraft-leggings-item-name,Witchcraft Leggings,Jambières de sorcellerie,Hexenwerk-Büx,Mallas de brujería,魔女術のレギンス,마녀의 레깅스,Legginsy czarownicy,Perneiras de Feitiçaria,Поножи колдовства,巫术护腿,巫術護腿
cursed-ring-item-name,Cursed Ring,Anneau maudit,Verfluchter Ring,Anillo maldito,呪いの指輪,저주받은 반지,Przeklęty pierścień,Anel Amaldiçoado,Проклятое кольцо,诅咒戒指,詛咒戒指
cursed-necklace-item-name,Cursed Necklace,Collier Maudit,Verfluchte Halskette,Collar Maldito,呪いのネックレス,저주받은 목걸이,Przeklęty Naszyjnik,Colar Amaldiçoado,Проклятое ожерелье,诅咒项链,詛咒項鍊
mask-of-the-cursed-item-name,Mask of the Cursed,Masque des maudits,Maske der Verfluchten,Máscara de los malditos,呪いの覆面,저주받은 자의 가면,Maska przeklętych,Máscara do Amaldiçoado,Маска проклятых,诅咒面具,詛咒面具
blade-of-the-ruined-item-name,Blade of the Ruined,Lame des dévastés,Verderbnisklinge,Filo de la ruina,壊滅のブレード,몰락한 자의 칼날,Ostrze zrujnowanych,Lâmina do Decrépito,Погиблый клинок,残破之刃,毀滅者之刃
lightning-boots-item-name,Lightning Boots,Bottes de Foudre,Blitzstiefel,Botas de Rayo,ライトニングブーツ,번개 부츠,Buty Błyskawicy,Botas de Raio,Молниеносные ботинки,闪电靴,閃電靴
shamans-robe-item-name,Shaman's Robe,Robe de chaman,Schamanenrobe,Túnica de chamán,シャーマンのローブ,주술사의 가운,Szata szamana,Veste de Xamã,Мантия шамана,萨满长袍,薩滿長袍
turtle-sabatons-item-name,Turtle Sabatons,Solerets de tortue,Schildkröten-Eisenschuhe,Escarpes de tortuga,亀のサバトン,거북의 사바톤,Żółwiowe trzewiki,Escarpes de Tartaruga,Черепаховые сабатоны,乌龟铠靴,龜鎧靴
turtle-leggings-item-name,Turtle Leggings,Jambières de tortue,Schildkrötenbüx,Mallas de tortuga,亀のレギンス,거북이 각반,Żółwiowe nogawice,Perneiras de Tartaruga,Черепаховые поножи,乌龟长裤,龜護腿
cowards-ring-item-name,Coward's Ring,Anneau de Lâche,Feiglingsring,Anillo de Cobarde,臆病者の指輪,겁쟁이의 반지,Pierścień Tchórza,Anel do Covarde,Кольцо труса,胆小鬼戒指,膽小鬼戒指
soul-collector-item-name,Soul Collector,Collecteur d’âmes,Seelensammler,Coleccionista de almas,魂の蒐集家,영혼 수집가,Kolekcjoner Dusz,Colecionador de Almas,Собиратель душ,灵魂收割,靈魂收藏者
heart-of-gold-item-name,Heart of Gold,Cœur d’or,Herz aus Gold,Corazón dorado,ゴールドの心臓,골드의 심장,Złote Serce,Coração de Ouro,Добросердие,黄金之心,黃金之心
turtle-chestplate-item-name,Turtle Chestplate,Plastron de tortue,Schildkröten-Brustplatte,Coraza de tortuga,亀のチェストプレート,거북이 흉갑,Żółwiowy napierśnik,Couraça de Tartaruga,Черепаховый нагрудник,乌龟胸甲,龜胸甲
elemental-necklace-item-name,Elemental Necklace,Collier élémentaire,Elementarhalskette,Collar elemental,元素ネックレス,자연력 목걸이,Naszyjnik żywiołów,Colar Elemental,Стихийное ожерелье,元素项链,元素項鍊
giants-ring-item-name,Giants Ring,Anneau des géants,Ring des Riesen,Anillo de gigante,巨人の指輪,거인의 반지,Pierścień olbrzymów,Anel de Gigante,Кольцо великана,巨人戒指,巨人戒指
black-oath-item-name,Black Oath,Serment noir,Schwarzer Eid,Juramento negro,黒の誓い,검은 맹세,Czarna przysięga,Juramento Sombrio,Черная клятва,黑誓,黑誓
turtle-gauntlet-item-name,Turtle Gauntlet,Gantelet de Tortue,Schildkröten-Handschuh,Guantelete de tortuga,タートルガントレット,거북이 건틀렛,Rękawica Żółwia,Manopla de Tartaruga,Черепаховые перчатки,龟甲手套,龜甲手套
gloom-item-name,Gloom,Obscure,Trübsal,Melancolía,グローン,암울,Przygnębienie,Melancolia,Мрак,幽暗,幽暗
qolk-item-name,Qolk,Qolk,Qolk,Qolk,クォルク,콜크,Qolk,Qolk,Кволк,苦苛,科爾克
blake-item-name,Blake,Blake,Blake,Blake,ブレイク,블레이크,Blake,Blake,Прошивные ботинки,布雷克,布雷克
vampiric-helmet-item-name,Vampiric Helmet,Casque vampirique,Vampirhelm,Casco vampírico,吸血鬼の兜,뱀파이어 헬멧,Wampiryczny hełm,Elmo Vampírico,Вампирский шлем,吸血头盔,吸血頭盔
vampiric-chestplate-item-name,Vampiric Chestplate,Plastron vampirique,Vampirbrustplatte,Coraza vampírica,吸血鬼のチェストプレート,흡혈귀의 흉갑,Wampiryczny napierśnik,Couraça Vampírica,Вампирский нагрудник,吸血胸甲,吸血胸甲
glimmer-item-name,Glimmer,Lueur,Glimmer,Destello,グリマー,희미한 빛,Połysk,Feixe,Мерцание,微光,微光
vurk-item-name,Vurk,Vurk,Vurk,Vurk,ヴァーク,버크,Vurk,Vurk,Вурк,威克,威克
bloodedge-item-name,Bloodedge,Sanglante,Blutschneide,Filo sangriento,ブラッドエッジ,블러드에지,Ostrze Krwi,Sangume,Кровавое лезвие,血锋,血鋒
ethercrests-tome-item-name,Ethercrest's Tome,Tome de Haut-éther,Ätherwappen-Buch,Tomo de Ethercrest,エーテルクレストの書物,에더크레스트의 책,Księga Eterkresta,Tomo de Etercrado,Фолиант Этеркреста,以太嵴巨著,乙太冠之書
ethercrests-sabatons-item-name,Ethercrest's Sabatons,Solerets de Haut-éther,Ätherwappen-Eisenschuhe,Escarpes de Ethercrest,エーテルクレストのサバトン,에더크레스트의 사바톤,Trzewiki Eterkresta,Escarpes de Etercrado,Сабатоны Этеркреста,以太嵴铠靴,乙太冠鎧靴
ethercrests-blade-item-name,Ethercrest's Blade,Lame de Haut-éther,Ätherwappen-Klinge,Filo de Ethercrest,エーテルクレストのブレード,에더크레스트의 칼날,Ostrze Eterkresta,Lâmina de Etercrado,Клинок Этеркреста,以太嵴之刃,乙太冠之刃
ethercrests-helmet-item-name,Ethercrest's Helmet,Casque de Haut-éther,Ätherwappen-Helm,Casco de Ethercrest,エーテルクレストの兜,에더크레스트의 헬멧,Hełm Eterkresta,Elmo de Etercrado,Шлем Этеркреста,以太嵴头盔,乙太冠頭盔
ethercrests-staff-item-name,Ethercrest's Staff,Bâton de Haut-éther,Ätherwappen-Stab,Báculo de Ethercrest,エーテルクレストのステッキ,에더크레스트의 지팡이,Kostur Eterkresta,Cajado de Etercrado,Посох Этеркреста,以太嵴权杖,乙太冠杖
ethercrests-sword-item-name,Ethercrest's Sword,Épée de Haut-éther,Ätherwappen-Schwert,Espada de Ethercrest,エーテルクレストの剣,에더크레스트의 검,Miecz Eterkresta,Espada de Etercrado,Меч Этеркреста,以太嵴剑,乙太冠劍
ethercrests-leggings-item-name,Ethercrest's Leggings,Jambières de Haut-éther,Ätherwappen-Büx,Mallas de Ethercrest,エーテルクレストのレギンス,에더크레스트의 각반,Nogawice Eterkresta,Perneiras de Etercrado,Поножи Этеркреста,以太嵴长裤,乙太冠護腿
ethercrests-chestplate-item-name,Ethercrest's Chestplate,Plastron de Haut-éther,Ätherwappen-Brustplatte,Coraza de Ethercrest,エーテルクレストのチェストプレート,에더크레스트의 흉갑,Napierśnik Eterkresta,Couraça de Etercrado,Нагрудник Этеркреста,以太嵴胸甲,乙太冠胸甲
ethercrests-ring-item-name,Ethercrest's Ring,Anneau de Haut-éther,Ätherwappen-Ring,Anillo de Ethercrest,エーテルクレストの指輪,에더크레스트의 반지,Pierścień Eterkresta,Anel de Etercrado,Кольцо Этеркреста,以太嵴戒指,乙太冠戒指
mask-of-cataclysm-item-name,Mask of Cataclysm,Masque du cataclysme,Maske der Verheerung,Máscara del cataclismo,大変動の覆面,대재앙의 가면,Maska kataklizmu,Máscara do Cataclismo,Маска бедствия,灾变面具,災變面具
ring-of-interest-item-name,Ring of Interest,Anneau d'intérêt,Ring des Interesses,Anillo de interés,好奇心の指輪,흥미의 반지,Pierścień zainteresowania,Anel do Interesse,Кольцо интереса,利益戒指,利益戒指
rod-of-doom-item-name,Rod of Doom,Sceptre de la damnation,Rute des Unheils,Bastón de la perdición,破滅のロッド,파멸의 회초리,Laska zagłady,Bordão da Sina,Жезл рока,末日之棍,末日之棍
shadow-whisper-item-name,Shadow Whisper,Murmure de l'ombre,Schattenflüstern,Susurro sombrío,影の囁き,그림자 속삭임,Szept Cieni,Sussurro das Sombras,Шепот тени,暗影低语,暗影低語者
magma-sabatons-item-name,Magma Sabatons,Solerets du magma,Magma-Eisenschuhe,Escarpes de magma,マグマのサバトン,마그마 사바톤,Trzewiki magmy,Escarpes de Lava,Лавовые сабатоны,熔岩铠靴,熔岩鎧靴
magma-helmet-item-name,Magma Helmet,Casque du magma,Magmahelm,Casco de magma,マグマの兜,마그마 헬멧,Hełm magmy,Elmo de Lava,Лавовый шлем,熔岩头盔,熔岩頭盔
magma-leggings-item-name,Magma Leggings,Jambières du magma,Magmabüx,Mallas de magma,マグマのレギンス,마그마 각반,Nogawice magmy,Perneiras de Lava,Лавовые поножи,熔岩长裤,熔岩護腿
