language-name-text,Polski
greed-stat-name,Chciwość
health-stat-name,Zdrowie
lethality-stat-name,Śmiertelność
life-steal-stat-name,Kradzież życia
luck-stat-name,Szczęście
magic-attack-stat-name,Atak magiczny
magic-damage-stat-name,Obrażenia od magii
malice-stat-name,Złowrogość
malice-damage-stat-name,Obrażenia od złowrogości
mana-stat-name,Mana
max-health-stat-name,Maks. zdrowie
max-mana-stat-name,Maks. mana
omni-crit-chance-stat-name,Szansa na cios wszechkrytyczny
omni-vamp-stat-name,Wszechwampiryczność
penetration-stat-name,Przebicie
physical-attack-stat-name,Atak fizyczny
physical-damage-stat-name,Obrażenia fizyczne
poison-damage-stat-name,Obrażenia od trucizny
power-stat-name,Moc
random-stat-stat-name,Losowa statystyka
recovery-stat-name,Regeneracja
spelldom-stat-name,Magidominacja
tenacity-stat-name,Wytrwałość
total-attacks-stat-name,Łączna liczba ataków
toughness-stat-name,Wytrzymałość
toxicity-stat-name,Toksyczność
true-damage-stat-name,Czyste obrażenia
wisdom-stat-name,Mądrość
enervation-status-effect-name,Odwodnienie
enervated-status-effect-application-message,Wyczerpany
weakness-status-effect-name,Słabość
weakened-status-effect-application-message,Osłabiono
black-curse-status-effect-name,Czarna klątwa
cursed-status-effect-application-message,Przeklęto
curse-status-effect-name,Klątwa
stun-status-effect-name,Ogłuszenie
stunned-status-effect-application-message,Ogłuszono
slowness-status-effect-name,Spowolnienie
slowed-status-effect-application-message,Spowolniono
confusion-status-effect-name,Konfuzja
confused-status-effect-application-message,Skonfundowano
silence-status-effect-name,Uciszenie
silenced-status-effect-application-message,Uciszono
toxic-transmute-status-effect-name,Toksyczna transmutacja
poison-status-effect-name,Trucizna
poisoned-status-effect-application-message,Otruto
bleed-status-effect-name,Krwawienie
sparkle-status-effect-name,Błysk
sparkle-status-effect-application-message,Błysk
magic-shield-status-effect-name,Magiczna tarcza
ephemeral-armor-status-effect-name,Efemeryczny pancerz
ephemeral-shell-status-effect-name,Efemeryczna skorupa
electro-charge-status-effect-name,Ładunek elektryczny
ephemeral-lock-status-effect-name,Efemeryczna blokada
exhaustion-status-effect-name,Wycieńczenie
malice-shield-status-effect-name,Złowroga tarcza
armor-shield-status-effect-name,Tarcza pancerza
freeze-status-effect-name,Zamrożenie
frozen-status-effect-application-message,Zamrożono
fear-status-effect-name,Strach
invulnerability-status-effect-name,Niewrażliwość
inherited-sin-status-effect-name,Odziedziczony grzech
arthurs-mark-status-effect-name,Znamię Artura
timeout-status-effect-name,Przerwa
cinder-essence-status-effect-name,Esencja żaru
combat-insight-status-effect-name,Bojowa wnikliwość
magic-blitz-status-effect-name,Magiczne natarcie
magic-blitz-status-effect-application-message,Magiczne natarcie
omni-blitz-status-effect-name,Wszechnatarcie
omni-blitz-status-effect-application-message,Wszechnatarcie
vimblow-status-effect-name,Energiczne uderzenie
dread-status-effect-name,Trwoga
fury-status-effect-name,Furia
fury-status-effect-application-message,Furia
counter-attack-charge-status-effect-name,Ładunek kontrataku
multi-attack-charge-status-effect-name,Ładunek wielokrotnego ataku
stun-attack-charge-status-effect-name,Ładunek ataku ogłuszającego
debuff-immunity-status-effect-name,Niewrażliwość na negatywne efekty
golden-heart-status-effect-name,Złote serce
golden-lock-status-effect-name,Złota blokada
lethality-status-effect-name,Zabójczość
madness-status-effect-name,Szaleństwo
focused-status-effect-name,Skupienie
blindness-status-effect-name,Oślepienie
clarity-status-effect-name,Klarowność
elusive-status-effect-name,Unikający
purification-status-effect-name,Obmycie
grace-status-effect-name,Chwała
curse-of-the-tower-status-effect-name,Klątwa wieży
blue-team-status-effect-name,Niebieski zespół
red-team-status-effect-name,Czerwony zespół
unavoidable-keyword-name,Nie do uniknięcia
anti-steal-keyword-name,Ochrona przed kradzieżą
attack-damage-keyword-name,Obrażenia od Ataku
execute-keyword-name,Egzekucja
ascend-keyword-name,Wniebowstąp
tinker-keyword-name,Majsterkowanie
heal-keyword-name,Uzdrowienie
tier-i-reward-keyword-name,Nagroda poziomu I
critical-strike-battle-action-name,Cios krytyczny
counter-attack-battle-action-name,Kontratak
multi-attack-battle-action-name,Wielokrotny atak
lucky-attack-battle-action-name,Szczęśliwy atak
armor-break-battle-action-name,Skruszenie pancerza
omni-crit-battle-action-name,Wszechkrytyczność
polymorph-battle-action-name,Polimorfia
immolate-battle-action-name,Zniszczenie
backstab-battle-action-name,Cios w plecy
cleanse-battle-action-name,Oczyszczenie
dodge-battle-action-name,Unik
parry-battle-action-name,Parowanie
block-battle-action-name,Blok
guard-battle-action-name,Obrona
miss-battle-action-name,Chybienie
hit-battle-action-name,Trafienie
arcane-roulette-ability-name,Ruleta arkanów
astral-dissolution-ability-name,Rozpad astralny
barrier-ability-name,Bariera
bloodlust-aura-ability-name,Aura żądzy krwi
burden-of-power-ability-name,Brzemię władzy
confusion-strike-ability-name,Konfundujący cios
death-strike-ability-name,Cios śmierci
drain-react-ability-name,Drain Reakt
drop-of-chaos-ability-name,Kropla chaosu
enchanted-attack-ability-name,Zaklęty atak
fear-of-faith-ability-name,Strach przed wiarą
frozen-strike-ability-name,Zamarznięty cios
frozen-wind-ability-name,Zamarznięty wiatr
galefire-ability-name,Ogień wichury
harness-ability-name,Ujarzmienie
headbutt-ability-name,Główka
heart-of-iron-ability-name,Żelazne Serce
iron-will-ability-name,Żelazna Wola
mana-regen-ability-name,Przywracanie many
mind-control-ability-name,Kontrola nad umysłem
multi-cleanse-ability-name,Wielokrotne oczyszczenie
multi-heal-ability-name,Wielokrotne uzdrowienie
multi-magic-shield-ability-name,Wielowarstwowa magiczna tarcza
multi-shield-ability-name,Wielowarstwowa tarcza
multi-stun-ability-name,Wielokrotny Ogłuszenie
my-justice-ability-name,Moja Sprawiedliwość
my-way-ability-name,Moja Droga
normal-attack-ability-name,Atak Normalny
noxious-empowerment-ability-name,Trujące wzmocnienie
persistent-payback-ability-name,Nieustępliwy odwet
prowlers-strike-ability-name,Cios Czyhacza
purify-ability-name,Puryfikacja
replay-ability-name,Powtórka
repulse-ability-name,Odtrącenie
safeguard-ability-name,Ochrona
shatter-strike-ability-name,Roztrzaskujący cios
silhouette-ability-name,Sylwetka
spell-bind-ability-name,Zapieczętowanie zaklęć
steady-grip-ability-name,Pewny Chwyt
steal-ability-name,Kradzież
stun-attack-ability-name,Ogłuszający atak
stun-strike-ability-name,Ogłuszające uderzenie
toxic-attack-ability-name,Atak toksyczny
triple-attack-ability-name,Potrójny atak
venom-spit-ability-name,Jadowita plwocina
absolution-passive-name,Odkupienie
all-is-mine-passive-name,Wszystko moje
arcane-control-passive-name,Kontrola Arkanów
arcane-equilibrium-passive-name,Tajemna Równowaga
battleborn-passive-name,Wojurodzony
battleforged-heart-passive-name,Serce wykute w boju
beyond-the-grave-passive-name,Zza grobu
bloodedges-blood-slash-passive-name,Krwawe cięcie Ostrza Krwi
cinder-touch-passive-name,Dotyk żaru
combat-instinct-passive-name,Instynkt bojowy
consuming-darkness-passive-name,Pochłaniająca ciemność
crimson-pact-passive-name,Karmazynowy Pakt
critical-focus-passive-name,Krytyczne skupienie
crystal-hardening-passive-name,Kryształowe utwardzenie
crystal-insight-passive-name,Kryształowy wgląd
cursed-chain-passive-name,Przeklęty łańcuch
edens-wish-passive-name,Życzenie Edenu
edge-of-death-passive-name,Krawędź śmierci
edge-of-the-ruined-passive-name,Przewaga zrujnowanych
eldrids-fury-passive-name,Furia Eldrida
empty-bastion-passive-name,Pusty bastion
emulator-passive-name,Emulator
escape-passive-name,Ucieczka
evil-mark-passive-name,Znamię zła
exploited-opportunity-passive-name,Wykorzystana okazja
faded-discipline-passive-name,Wyblakła dyscyplina
faultbreaker-passive-name,Łamacz błędów
fear-of-pain-passive-name,Strach przed Bólem
folly-of-kings-passive-name,Szaleństwo królów
freedom-drive-passive-name,Pęd ku wolności
frozen-heart-passive-name,Zamarznięte serce
golden-altruism-passive-name,Złoty altruizm
growing-anger-passive-name,Rosnący gniew
iron-pact-passive-name,Żelazny pakt
ironclad-passive-name,Żelazne odzienie
judgments-call-passive-name,Czas sądu
liberation-passive-name,Wyzwolenie
litany-of-malice-passive-name,Litania złośliwości
luminous-trial-passive-name,Próba Światła
magic-flux-passive-name,Magiczny Przepływ
magical-frostflare-passive-name,Magiczna flara mrozu
mana-steal-passive-name,Kradzież many
manaflow-passive-name,Przepływ many
mimicry-passive-name,Naśladownictwo
plated-rot-passive-name,Opancerzona zgnilizna
potential-seeker-passive-name,Poszukiwacz potencjału
prime-guard-passive-name,Główny Strażnik
shaded-essence-passive-name,Zacieniona esencja
shattered-breath-passive-name,Strzaskany oddech
shatterwave-passive-name,Roztrzaskująca fala
spell-block-passive-name,Blok zaklęć
spirit-of-the-unbroken-passive-name,Duch niezłomnych
strike-of-destiny-passive-name,Cios od losu
thunderstrike-passive-name,Uderzenie gromu
toxic-redemption-passive-name,Toksyczne odkupienie
toxshield-passive-name,Toksytarcza
undead-blessing-passive-name,Błogosławieństwo nieumarłych
undying-curse-passive-name,Niezniszczalna Klątwa
vengeful-edge-passive-name,Mściwe ostrze
warriors-resolute-passive-name,Rezolucja wojownika
whispers-of-anger-passive-name,Szepty Gniewu
wind’s-grace-passive-name,Łaska Wiatru
wrath-of-the-broken-flesh-passive-name,Gniew Złamanego Ciała
honor-trial-name,Honor
resilience-trial-name,Odporność
swarm-trial-name,Rój
confrontation-trial-name,Konfrontacja
sagacity-trial-name,Trafność
common-rarity-name,POSPOLITY
uncommon-rarity-name,NIEPOSPOLITY
rare-rarity-name,RZADKI
legendary-rarity-name,LEGENDARNY
mythic-rarity-name,MITYCZNY
eternal-rarity-name,WIECZNY
abyssal-rarity-name,OTCHŁANNY
cosmic-rarity-name,KOSMICZNY
divine-rarity-name,BOSKI
fren-adventurer-name,Fren
pyry-adventurer-name,Pyry
sid-adventurer-name,Sid
elys-adventurer-name,Elys
fael-adventurer-name,Fael
tyr-adventurer-name,Tyr
viran-adventurer-name,Viran
kinno-adventurer-name,Kinno
riel-adventurer-name,Riel
amon-adventurer-name,Amon
jace-adventurer-name,Jace
buff-status-effect-type-name,Wzmocnienie
debuff-status-effect-type-name,Negatywny efekt
penalty-status-effect-type-name,Kara
neutral-status-effect-type-name,Neutralny
blessing-status-effect-type-name,Błogosławieństwo
accuracy-stat-description,Określa twoją szansę trafienia celu
active-armor-stat-description,Pozostały |[armor]
adaptive-attack-stat-description,Zwiększa obecne obrażenia zadawane wskutek ataku
agility-stat-description,<.>| Określa szansę na |[dodge]|\n|<.>| Wartość zmniejszana przez statystykę |[active-armor]
armor-stat-description,Pochłania obrażenia zamiast |[health]|
armor-shields-stat-description,Ilość stosów |[armor-shield]| które otrzymasz|\n|na początku walki
armor-steal-stat-description,Ilość |[armor]| do kradzieży od celu po trafieniu|\n|<696969>Nie możesz ukraść więcej; niż twoja brakująca |[armor]|
armored-attack-stat-description,Przekształca % twojego |[active-armor]| w |[armor-damage]| zadawane przy trafieniu
blackrot-damage-stat-description,Żadne efekty nie mają wpływu
combat-stat-description,Zwiększa zadawane obrażenia typu |[physical-damage]| o łączną wartość statystyki |[combat]
crit-chance-stat-description,Szansa na |[critical-strike]
critical-damage-stat-description,Zwiększa obrażenia zadawane przez |[critical-strike]| i |[omni-crit]
dazzle-stat-description,Liczba kumulacji efektu |[sparkle]| wywoływana przy trafieniu celu
eldership-stat-description,<.>| Zwiększa |[magic-damage]| o łączną wartość |[eldership]|\n|<.>| Zwiększa |[armor]| o łączną wartość |[eldership]
electricity-stat-description,Przy trafieniu wywołaj u celu kumulacje efektu |[electro-charge]| w liczbie równej wartości statystyki |[electricity]|\n|– sąsiedni wrogowie otrzymają kumulacje w liczbie równej 25% wartości wywołanej u celu
elemental-power-stat-description,Mnoży następujące statystyki: |\n|<.>| |[freeze-attack]|\n|<.>| |[cinder-damage]|\n|<.>| |[electricity]|\n|<.>| |[toxicity]
elemental-resistance-stat-description,Zmniejsza następujące statystyki: |\n|<.>| |[freeze-damage]|\n|<.>| |[cinder-damage]|\n|<.>| |[electric-damage]|\n|<.>| |[toxicity]
energy-stat-description,Pozwala na wykonywanie działań
faith-stat-description,<.>| Określa twoją szansę na |[cleanse]|:|\n|[0@silver]|[*0@silver]| Na koniec tury|\n|[4@silver]|[*4@silver]| Gdy otrzymasz osłabienie|\n|\n|<.>| Zmniejszone przez twoją |[greed]
flow-stat-description,Nie można wykonać tury; gdy |[flow]| jest poniżej 0%
freeze-attack-stat-description,Wartość efektu |[freeze-damage]| wywoływana przy trafieniu atakiem
gold-on-kill-stat-description,Zwiększa |[gold]| na zabójstwo
greed-stat-description,Mnoży zdobywane złoto
health-stat-description,Maksymalna liczba obrażeń możliwa do otrzymania przez postać przed śmiercią
lethality-stat-description,Obrażenia; które pozostawią cel poniżej % |[max-health]|\n|i równe wartości: % |[lethality]|; uruchomią |[execute]|.
life-steal-stat-description,[physical-damage]| wywołują |[heal]| – odnawiają |[health]| równe procentowi obrażeń
luck-stat-description,Twoja szansa na wykonanie następujących czynności:|\n|[lucky-attack]
magic-attack-stat-description,[magic-damage]| zadawane przy trafieniu atakiem
malice-stat-description,Każdy atak na posiadacza zadaje napastnikowi |[malice-damage]|\n|równe łącznej wartości statystyki |[malice]
mana-stat-description,Zasób często wykorzystywany do używania umiejętności
max-health-stat-description,Najwyższa wartość; do której można przywrócić zasób |[health]
max-mana-stat-description,Najwyższa wartość; do której można przywrócić zasób|[mana] |
omni-crit-chance-stat-description,Szansa na |[omni-crit]
omni-vamp-stat-description,Zapewnia |[heal]| – odnawia |[health]| równe procentowi zadanych |obrażeń
penetration-stat-description,Ignoruje procent statystyki |[armor]
physical-attack-stat-description,[physical-damage]| zadawane przy trafieniu atakiem
power-stat-description,Mnoży wszystkie |[attack-damage]
recovery-stat-description,[heal]| części brakującego zasobu |[health]| co turę|\n|Opiera się na statystyce |[recovery]
spelldom-stat-description,Ilość |[magic-blitz]| otrzymana w pierwszej turze
tenacity-stat-description,Szansa na nieotrzymanie następujących efektów: |\n|<.>| |[slowness]|\n|<.>| |[stun]|
total-attacks-stat-description,Liczba ciosów wyprowadzanych po zaatakowaniu celu
toughness-stat-description,Zmniejsza obrażenia otrzymywane od ataków
toxicity-stat-description,Przy trafieniu wywołuje jedną kumulację efektu|[poison]|za każdy punkt statystyki|[toxicity]
wisdom-stat-description,<.>| Zwiększa wyjście |[magic-damage]| o całkowitą |[wisdom]|
enervation-status-effect-description,Zmniejsza obrażenia ataku o 25% za każdy ładunek
weakness-status-effect-description,Zmniejsza wszystkie obrażenia zadawane atakiem o 25% na kumulację
black-curse-status-effect-description,Zmniejsza wszelkiego rodzaju uzdrawianie o 75%
curse-status-effect-description,Zmniejsza wszelkiego rodzaju uzdrawianie o 75%
stun-status-effect-description,Po zastosowaniu uniemożliwia wszystkie działania przez jedną turę
slowness-status-effect-description,Zmniejsza statystykę |[agility]| o 100%
confusion-status-effect-description,Zmniejsza |[accuracy]| o 100%
silence-status-effect-description,Uniemożliwia użycie umiejętności
toxic-transmute-status-effect-description,Za każdym razem gdy twoje zdrowie ma otrzymać obrażenia;|\n|neguje je; zamienia je na |[poison]| i stosuje|\n|na tobie
poison-status-effect-description,Na koniec tury zadaje bezpośrednie obrażenia
bleed-status-effect-description,Po każdym ataku; otrzymaj |[bleed-damage]| do |[health]|\n|równe % |[bleed]| ładunków pomnożone przez |[max-health]|\n|\n|<696969>co turę; tracisz 2% |[bleed]
sparkle-status-effect-description,Trafienie celu wysadzi wszystkie kumulacje efektu |[sparkle]| i wywoła|\n|następujące efekty za każdą kumulację:|\n|\n|– |[ephemeral-armor]| dla napastnika|\n|– |[dazzle-damage]| zadane celowi|\n|\n
magic-shield-status-effect-description,Po aktywacji blokuje obrażenia;|\n|a następnie pęka i się dezaktywuje|\n|\n|<696969>(|[magic-damage]|<696969> nie wywołają pęknięcia)|\n
ephemeral-armor-status-effect-description,Tymczasowy |[armor]| znikający z końcem bitwy|\n|\n|Wywołuje efekt |[ephemeral-lock]| po otrzymaniu obrażeń|\n
ephemeral-shell-status-effect-description,Otrzymywane obrażenia zmniejszone o 12% na kumulację
electro-charge-status-effect-description,Zadaje |[electric-damage]| równe liczbie stosów właścicielowi w każdej turze
ephemeral-lock-status-effect-description,Uniemożliwia otrzymanie efektu |[ephemeral-armor]
exhaustion-status-effect-description,[total-attacks]| zostaje ograniczona do 1|\n
malice-shield-status-effect-description,Przy następnym ataku wroga jedna warstwa tarczy pęknie|\n|i zignorujesz obrażenia równe wartości statystyki |[malice]*|<483a5d>+1|
armor-shield-status-effect-description,Przy następnym ataku wroga jedna warstwa tarczy pęknie|\n|i zignorujesz obrażenia równe wartości zasobu |[armor]*|<6d758d>+1|\n
freeze-status-effect-description,Otrzymuje 25% więcej obrażeń każdego rodzaju
fear-status-effect-description,Uniemożliwia otrzymanie wzmocnień
invulnerability-status-effect-description,Nie można otrzymać obrażeń
arthurs-mark-status-effect-description,Cel z tym znamieniem ma zablokowane następujące działania: |[block]|; |[parry]| i |[dodge]|\n
timeout-status-effect-description,Uniemożliwia wszelkie działania do końca tury
cinder-essence-status-effect-description,Na początku tury zużywasz |\n|wszystkie kumulacje efektu |[cinder-essence]|\n|i wywołujesz |[immolate]| za każdą kumulację
combat-insight-status-effect-description,Gdy wróg obiera cię na cel ataku|\n|i masz co najmniej 5 kumulacji efektu |[combat-insight];|\n|zużywasz je i przeprowadzasz |[parry]|\n
magic-blitz-status-effect-description,Przy ataku zużyjesz wszystkie kumulacje tego efektu; za każdą z nich|\n|[magic-attack]| wzrośnie o 100%|\n
omni-blitz-status-effect-description,Przy ataku zużyjesz wszystkie kumulacje tego efektu; za każdą z nich|\n|[physical-attack]| i |[magic-attack]| wzrosną o 100%|\n
vimblow-status-effect-description,Przy ataku zużyjesz jedną kumulację tego efektu; co zwiększy |[physical-attack]|\n|o 25% statystyki |[max-health]|\n
dread-status-effect-description,Wrogowie z |[fear]| nie zaatakują ciebie
fury-status-effect-description,Zwiększ |[physical-attack]| o 25% za każdą kumulację efektu |[fury]|\n|<696969>(resetuje się na koniec bitwy)|\n|\n
counter-attack-charge-status-effect-description,Zaatakuj atakującego
multi-attack-charge-status-effect-description,[multi-attack]| w tej turze
stun-attack-charge-status-effect-description,Wszystkie twoje trafienia nałożą na cel |[stun]|
debuff-immunity-status-effect-description,Uniemożliwia wywołanie negatywnych efektów
golden-heart-status-effect-description,Po spadku do 0 |[health]|:|\n|<.>| ożyj i |[heal]| o 25% twojego |[max-health]|\n|[3@golden]|<.>| |[*3@golden]| zyskaj |[invulnerability]|
lethality-status-effect-description,Zadanie obrażeń celowi które pozostawiłyby go poniżej % |[max-health]||\n|równego % |[lethality]| |[execute]| go
madness-status-effect-description,Można atakować tylko siebie
blindness-status-effect-description,Zmniejsza twoją |[accuracy]| o 100%
clarity-status-effect-description,Gdy masz otrzymać |[stun]|\n|zużyj 1 ładunek |[clarity]|; by go zanegować
elusive-status-effect-description,Wszystkie ataki przeciwko tobie stracą 100% |[accuracy]|
purification-status-effect-description,Na końcu tury zużywasz 1 kumulację i wywołujesz |[cleanse]
grace-status-effect-description,Zwiększa wszystkie obrażenia
curse-of-the-tower-status-effect-description,Każdej tury otrzymujesz |[true-damage]| równe 1% twojego |[max-health]|\n|<696969>(otrzymywane; gdy bitwa trwa zbyt długo)
unavoidable-keyword-description,Ten atak zawsze dosięga celu
anti-steal-keyword-description,Chroni cię przed efektem |[steal]
ascend-keyword-description,Rozpocznij wniebowstąpienie od piętra 1; zdobyty |[diamond]|\nzostanie pomnożony przez 2|<696969> (+1 na każdym poziomie)|\n|<ff4500>Przedmioty z pięter 2+ użyte w poprzednich podejściach zostaną|\n|<ff4500>usunięte
tinker-keyword-description,Handlarz zrobi z przekazanymi mu przedmiotami; co następuje:|\n|<.>| Przekształci przekucia i przedmioty w zestawy majsterkowicza|\n|<.>| Ulepszy przekute przedmioty
heal-keyword-description,Działanie przywracające postaci |[health]
tier-i-reward-keyword-description,<.>| |Zdobądź dodatkowy |[diamond]| z otwierania skrzyni|\n|<.>| |Zacznij z +{gold} |[gold]
critical-strike-battle-action-description,Zwiększa |[physical-damage]| |o 100% oraz wartość procentową statystyki |[critical-damage]
counter-attack-battle-action-description,Zaatakowanie napastnika
multi-attack-battle-action-description,Atak na wszystkich przeciwników w ciągu jednej tury
lucky-attack-battle-action-description,Zadaje 25% dodatkowych obrażeń
armor-break-battle-action-description,Kruszy pancerz celu poprzez zmniejszenie go do 0
omni-crit-battle-action-description,Zwiększa |[physical-damage]| |i |[magic-damage]|\n|o 100% oraz wartość procentową statystyki |[critical-damage]
polymorph-battle-action-description,Przekształca najsilniejszego wroga w losowego wroga|\n|i resetuje jego statystyki
immolate-battle-action-description,Zadaje |[cinder-damage]| o wartości równej 25% statystyki |\n|[max-health]| wszystkim wrogom na przodzie
backstab-battle-action-description,Zadaj wrogowi cios w plecy zadający obrażenia od ataku|\n|<.>| | |[max-health]| wroga powyżej 75%: Obrażenia zmniejszone o 45%|\n|<.>| | |[max-health]| wroga poniżej lub równe 75%: Atak|\n| będzie |[critical-strike]| i będzie miał +25% |[accuracy]
cleanse-battle-action-description,Usuwa losowe osłabienie i zmniejsza twoją |[faith]| o 25%|\n|<696969>resetuje się co bitwę
dodge-battle-action-description,Unikasz otrzymywanych obrażeń|\n|\n|Każdy |[dodge]|:|\n|zmniejsza statystykę |[agility]| o 25%|\n|\n|<696969>resetuje się co bitwę
parry-battle-action-description,Odbija obrażenia i efekty stanu do napastnika|\n|<696969>Sparowanie 10 ciosów kończy twoją turę
block-battle-action-description,Zmniejsza otrzymywane obrażenia o 100%
guard-battle-action-description,Zmniejsz otrzymywane obrażenia o 25%
miss-battle-action-description,Atak; który nie dosięga celu|\n|<696969>Chybienie 10 razy kończy turę
arcane-roulette-ability-description,Za każdym razem; gdy twój |[magic-shield]| pęka; atakujesz|\n|losowy cel\n|<696969>WARUNEK AKTYWACJI: posiadane aktywne |[magic-shield]|
astral-dissolution-ability-description,Usuwasz wszystkie wzmocnienia celu
barrier-ability-description,Zapewnia efekt |[magic-shield]
bloodlust-aura-ability-description,Zastosuj |[madness]| na wszystkich wrogach|\n|<696969>WARUNEK AKTYWACJI: w jednej turze |[heal]|<696969> 25%|\n|<696969>twojej |[max-health]|<696969>
burden-of-power-ability-description,Na początku tury ukradnij 75% obrażeń od ataku wszystkim wrogom; na których jest |[fear]||\n||\n|<696969>WARUNEK AKTYWACJI: nałożono |[fear]|<696969> na wroga
confusion-strike-ability-description,Wywołuje przy trafieniu 2 kumulacje efektu |[confusion]|
death-strike-ability-description,Zyskujesz 100% statystyki |[crit-chance]|\n|do końca tury
drain-react-ability-description,Zastosuj 5 ładunków |[enervation]| na wszystkich wrogach|\n|<696969>WARUNEK AKTYWACJI: otrzymać cios od wroga z |[poison]|
drop-of-chaos-ability-description,Wywołuje u celu losowy negatywny efekt
enchanted-attack-ability-description,Do końca tury zwiększa obrażenia zadawane atakiem o 100%
fear-of-faith-ability-description,Zapewnia 2 kumulacje efektu|[invulnerability]
frozen-strike-ability-description,Wywołuje u celu 3 kumulacje efektu |[weakness]| przy trafieniu
frozen-wind-ability-description,Wywołuje u celu efekt |[weakness]|; a następnie go atakuje
galefire-ability-description,Wywołuje u celu efekt |[slowness]
headbutt-ability-description,Nakłada |[stun]| na cel przy trafieniu
heart-of-iron-ability-description,Otrzymaj |[armor]| równe twojemu |[health]|\n|<696969>WARUNEK AKTYWACJI: otrzymaj 3 trafienia|\n|<696969>resetuje się w każdej walce
mana-regen-ability-description,Całkowicie regeneruje zużyty zasób |[mana]
mind-control-ability-description,Wywołuje u wszystkich celów efekt|[confusion]
multi-cleanse-ability-description,[cleanse]|siebie i sojuszników
multi-heal-ability-description,Przywraca 25% zdrowia tobie i wszystkim sojusznikom
multi-magic-shield-ability-description,Zapewnia tobie i twoim sojusznikom efekt |[magic-shield]
multi-shield-ability-description,Zapewnia tobie i twoim sojusznikom |[ephemeral-armor]|\n|o wartości równej zasobowi |[health]
multi-stun-ability-description,Otrzymaj |[multi-attack-charge]| i |[stun-attack-charge]|;|\n|następnie zaatakuj|\n|<696969>WARUNEK AKTYWACJI: sparować atak|\n|<696969>reset w każdej walce
my-justice-ability-description,W tej turze otrzymujesz |[invulnerability]| oraz |[counter-attack-charge]||\n|<696969>WARUNEK AKTYWACJI: otrzymać |[invulnerability]|
my-way-ability-description,W tej turze otrzymujesz |[counter-attack-charge]||\n|<696969>WARUNEK AKTYWACJI: zaatakować 3 razy
noxious-empowerment-ability-description,Do końca tury podwaja |[toxicity]
persistent-payback-ability-description,[counter-attack]| do końca tury
prowlers-strike-ability-description,Za każdym trafieniem wroga w tej turze; zyskaj {agility-amount}% |[agility]||\n|<696969>WARUNEK AKTYWACJI: przynajmniej raz |[dodge]|<696969>
replay-ability-description,Aktywuj swoją ostatnio skopiowaną umiejętność|\n|<696969>WARUNEK AKTYWACJI: skopiować umiejętność
repulse-ability-description,[parry]| do końca tury
safeguard-ability-description,Zapewnia tobie i twoim sojusznikom |[armor]|\n|o wartości równej 25% statystyki |[max-health]
shatter-strike-ability-description,[armor-break]| przy trafieniu
silhouette-ability-description,Stań się |[elusive]| i zaatakuj|\n|<696969>WARUNEK AKTYWACJI: |[backstab]|\n|<696969>reset w każdej walce
spell-bind-ability-description,Wywołuje u celu efekt |[silence]
steady-grip-ability-description,W tej walce; twoje |[total-attacks]| zwiększa się o 1
steal-ability-description,Kradnie celowi|[gold]| o wartości 25% posiadanego
stun-attack-ability-description,Przy trafieniu wywołuje u celu efekt |[stun]
stun-strike-ability-description,Nakłada |[stun]| na cel przy trafieniu
toxic-attack-ability-description,Trafienie celu wywołuje 1 kumulację efektu |[poison]
venom-spit-ability-description,Wywołuje u celu kumulacje efektu |[poison]| w liczbie równej wartości statystyki|\n|[toxicity]
absolution-passive-description,Przy każdym ataku zadaj losowemu wrogowi |[magic-damage]|\n|w wysokości 5 pkt
all-is-mine-passive-description,Po rozpoczęciu tury kradniesz wszystkie|\n|wzmocnienia celu
arcane-control-passive-description,Za każdym razem gdy unikasz ataku; twoja |[magic-shield]| pęka i natychmiast się odnawia
arcane-equilibrium-passive-description,Na koniec każdej tury; przekształć |[invulnerability]| wszystkich|\n|w |[magic-shield]
battleborn-passive-description,Za każdym razem gdy |[parry]|; nałóż na cel |[stun]|
battleforged-heart-passive-description,Gdy twoja |[armor]| zostanie uszkodzona; przekształć|\n|tę wartość w |[max-health]|\n|<696969>resetuje się co bitwę
beyond-the-grave-passive-description,Na koniec tury; przekształć efekty statusu przeciwników|\n|<.>| |[weakness]| w |[enervation]|\n|<.>| |[curse]| w |[black-curse]
bloodedges-blood-slash-passive-description,Za każdym razem; gdy masz zamiar zaatakować; przekształć 10%|\n|swojego |[health]| w |[physical-attack]|\n|<696969>resetuje się co bitwę
cinder-touch-passive-description,[immolate]| przy trafieniu
combat-instinct-passive-description,Obrażenia od |[parry]| są podwojone
consuming-darkness-passive-description,Gdy wróg z |[fear]| i |[confusion]| zostanie zabity;|\n|zyskaj wszystkie jego statystyki bazowe |<696969>(reset w każdej walce)
crimson-pact-passive-description,Poniżej 45% |[health]|; zastosuj|\n|[confusion]| na wszystkich wrogów
critical-focus-passive-description,Twoje ataki |[critical-strike]| lub |[omni-crit]|\n|mają +25% |[accuracy]|
crystal-hardening-passive-description,Otrzymaj 0 punktów obrażeń podczas pierwszej tury
crystal-insight-passive-description,Zyskaj +100% |[magic-attack]| w pierwszej turze
cursed-chain-passive-description,Chybianie nie wpływa na wywoływanie efektów stanu|\n|powodowanych przy trafieniu atakiem
edens-wish-passive-description,Na początku każdej tury; przyznaj losowemu sojusznikowi|\n|losowe błogosławieństwo lub wzmocnienie
edge-of-death-passive-description,Podczas pierwszej tury |[health]| nie może spaść poniżej 1 punktu
